"----Nursing, psychiatric, and home health aides",1364,472,164,528,1200,466
----Occupational therapy assistants and aides,8,-,3,-,5,-
----Physical therapist assistants and aides,50,693,23,-,26,-
----Massage therapists,41,-,11,-,30,-
----Dental assistants,185,535,6,-,179,535
----Medical assistants,412,546,29,-,383,539
----Medical transcriptionists,32,-,1,-,31,-
----Pharmacy aides,24,-,7,-,17,-
----Veterinary assistants and laboratory animal caretakers,26,-,4,-,22,-
----Phlebotomists,103,533,19,-,84,526
"----Miscellaneous healthcare support occupations, including medical equipment preparers",123,509,40,-,83,493
--Protective service occupations,2740,833,2211,886,530,617
----First-line supervisors of correctional officers,46,-,33,-,13,-
----First-line supervisors of police and detectives,120,1127,103,1149,17,-
----First-line supervisors of fire fighting and prevention workers,56,1438,54,1448,2,-
"----First-line supervisors of protective service workers, all other",90,913,74,1004,16,-
----Firefighters,291,1138,274,1142,16,-
----Fire inspectors,11,-,9,-,3,-
"----Bailiffs, correctional officers, and jailers",392,730,279,755,113,687
----Detectives and criminal investigators,162,1173,130,1183,32,-
----Fish and game wardens,2,-,2,-,0,-
----Parking enforcement workers,9,-,6,-,3,-
----Police and sheriff's patrol officers,671,1018,593,1043,78,743
----Transit and railroad police,3,-,3,-,0,-
----Animal control workers,10,-,7,-,3,-
----Private detectives and investigators,78,1025,49,-,29,-
----Security guards and gaming surveillance officers,710,569,541,589,169,514
----Crossing guards,19,-,12,-,7,-
----Transportation security screeners,28,-,18,-,10,-
"----Lifeguards and other recreational, and all other protective service workers",43,-,24,-,18,-
--Food preparation and serving related occupations,4017,439,2140,463,1877,419
----Chefs and head cooks,364,590,302,601,61,531
----First-line supervisors of food preparation and serving workers,403,516,184,583,219,485
----Cooks,1166,413,773,416,392,405
----Food preparation workers,359,406,178,411,181,401
----Bartenders,216,522,103,634,113,459
"----Combined food preparation and serving workers, including fast food",169,379,66,384,102,373
"----Counter attendants, cafeteria, food concession, and coffee shop",60,349,19,-,41,-
----Waiters and waitresses,826,436,283,501,542,415
"----Food servers, nonrestaurant",111,502,47,-,64,495
----Dining room and cafeteria attendants and bartender helpers,151,451,73,509,78,420
----Dishwashers,128,368,101,364,27,-
"----Hosts and hostesses, restaurant, lounge, and coffee shop",62,433,9,-,53,418
"----Food preparation and serving related workers, all other",3,-,1,-,2,-
--Building and grounds cleaning and maintenance occupations,3568,480,2331,517,1236,413
----First-line supervisors of housekeeping and janitorial workers,153,596,89,720,64,500
"----First-line supervisors of landscaping, lawn service, and groundskeeping workers",91,717,90,716,1,-
----Janitors and building cleaners,1598,502,1160,540,438,415
----Maids and housekeeping cleaners,816,401,131,404,685,400
----Pest control workers,64,653,62,653,1,-
----Grounds maintenance workers,847,459,800,454,47,-
--Personal care and service occupations,2326,487,632,607,1695,455
----First-line supervisors of gaming workers,93,789,51,810,43,-
----First-line supervisors of personal service workers,73,567,27,-,46,-
----Animal trainers,10,-,6,-,3,-
----Nonfarm animal caretakers,89,489,29,-,60,452
----Gaming services workers,78,627,47,-,31,-
----Motion picture projectionists,3,-,3,-,0,-
"----Ushers, lobby attendants, and ticket takers",6,-,2,-,4,-
----Miscellaneous entertainment attendants and related workers,69,473,41,-,28,-
----Embalmers and funeral attendants,7,-,5,-,2,-
"----Morticians, undertakers, and funeral directors",17,-,14,-,3,-
----Barbers,42,-,39,-,3,-
"----Hairdressers, hairstylists, and cosmetologists",284,482,12,-,271,476
----Miscellaneous personal appearance workers,166,432,22,-,144,422
"----Baggage porters, bellhops, and concierges",66,633,58,664,9,-
----Tour and travel guides,19,-,9,-,10,-
----Childcare workers,406,442,21,-,385,444
----Personal care aides,667,434,133,465,534,425
----Recreation and fitness workers,167,599,76,716,91,521
----Residential advisors,22,-,8,-,14,-
"----Personal care and service workers, all other",42,-,29,-,13,-
,,,,,,
Sales and office occupations,23402,666,9251,766,14151,620
--Sales and related occupations,9626,705,5411,841,4215,570
----First-line supervisors of retail sales workers,2317,696,1295,793,1022,595
----First-line supervisors of non-retail sales workers,768,969,530,1004,238,878
----Cashiers,1305,394,384,412,921,387
----Counter and rental clerks,75,547,45,-,31,-
----Parts salespersons,88,617,74,643,14,-
----Retail salespersons,1870,596,1137,698,733,491
----Advertising sales agents,194,942,100,1041,94,871
----Insurance sales agents,433,765,204,946,230,698
"----Securities, commodities, and financial services sales agents",235,1122,152,1356,83,883
----Travel agents,46,-,10,-,36,-
"----Sales representatives, services, all other",413,948,296,986,117,766
"----Sales representatives, wholesale and manufacturing",1133,1015,817,1120,317,873
"----Models, demonstrators, and product promoters",16,-,8,-,8,-
----Real estate brokers and sales agents,416,852,189,991,227,726
----Sales engineers,41,-,39,-,2,-
----Telemarketers,55,526,18,-,37,-
"----Door-to-door sales workers, news and street vendors, and related workers",38,-,23,-,16,-
"----Sales and related workers, all other",183,807,92,949,91,664
--Office and administrative support occupations,13776,651,3840,701,9936,637
----First-line supervisors of office and administrative support workers,1185,808,410,919,775,763
"----Switchboard operators, including answering service",18,-,3,-,15,-
----Telephone operators,27,-,10,-,17,-
"----Communications equipment operators, all other",9,-,3,-,6,-
----Bill and account collectors,146,619,44,-,102,592
----Billing and posting clerks,412,642,32,-,380,640
"----Bookkeeping, accounting, and auditing clerks",830,665,85,732,745,660
----Gaming cage workers,14,-,6,-,8,-
----Payroll and timekeeping clerks,124,757,11,-,113,762
----Procurement clerks,30,-,11,-,19,-
----Tellers,284,510,55,544,229,507
"----Financial clerks, all other",63,752,23,-,40,-
----Brokerage clerks,4,-,0,-,4,-
