Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Licensed practical and licensed vocational nurses,licensed-practical-and-licensed-vocational-nurses,healthcare-practitioners-and-technical-occupations,444,921,45,-,399,918,2021
Medical records specialists,medical-records-specialists,healthcare-practitioners-and-technical-occupations,181,894,16,-,165,889,2021
"Opticians, dispensing",opticians-dispensing,healthcare-practitioners-and-technical-occupations,42,-,12,-,30,-,2021
Miscellaneous health technologists and technicians,miscellaneous-health-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,150,891,54,"1,003",97,835,2021
Other healthcare practitioners and technical occupations,other-healthcare-practitioners-and-technical-occupations,healthcare-practitioners-and-technical-occupations,91,"1,362",31,-,61,"1,327",2021
Service occupations,service-occupations,,"14,630",644,"7,000",723,"7,630",598,2021
Healthcare support occupations,healthcare-support-occupations,service-occupations,"3,269",637,527,723,"2,742",624,2021
Home health aides,home-health-aides,healthcare-support-occupations,314,587,49,-,264,581,2021
Personal care aides,personal-care-aides,healthcare-support-occupations,848,611,192,666,656,598,2021
Nursing assistants,nursing-assistants,healthcare-support-occupations,916,626,110,740,805,615,2021
Orderlies and psychiatric aides,orderlies-and-psychiatric-aides,healthcare-support-occupations,43,-,18,-,25,-,2021
Occupational therapy assistants and aides,occupational-therapy-assistants-and-aides,healthcare-support-occupations,29,-,5,-,24,-,2021
Physical therapist assistants and aides,physical-therapist-assistants-and-aides,healthcare-support-occupations,37,-,9,-,28,-,2021
Massage therapists,massage-therapists,healthcare-support-occupations,42,-,7,-,35,-,2021
Dental assistants,dental-assistants,healthcare-support-occupations,219,665,19,-,200,653,2021
Medical assistants,medical-assistants,healthcare-support-occupations,482,676,51,980,430,668,2021
Medical transcriptionists,medical-transcriptionists,healthcare-support-occupations,26,-,8,-,19,-,2021
Pharmacy aides,pharmacy-aides,healthcare-support-occupations,28,-,9,-,19,-,2021
Veterinary assistants and laboratory animal caretakers,veterinary-assistants-and-laboratory-animal-caretakers,healthcare-support-occupations,47,-,7,-,40,-,2021
Phlebotomists,phlebotomists,healthcare-support-occupations,109,681,10,-,99,666,2021
Other healthcare support workers,other-healthcare-support-workers,healthcare-support-occupations,128,768,32,-,96,656,2021
Protective service occupations,protective-service-occupations,service-occupations,"2,608",998,"2,031","1,067",577,814,2021
First-line supervisors of correctional officers,first-line-supervisors-of-correctional-officers,protective-service-occupations,36,-,25,-,11,-,2021
First-line supervisors of police and detectives,first-line-supervisors-of-police-and-detectives,protective-service-occupations,89,"1,360",74,"1,413",15,-,2021
First-line supervisors of firefighting and prevention workers,first-line-supervisors-of-firefighting-and-prevention-workers,protective-service-occupations,46,-,43,-,4,-,2021
First-line supervisors of security workers,first-line-supervisors-of-security-workers,protective-service-occupations,66,"1,147",52,"1,146",14,-,2021
"First-line supervisors of protective service workers, all other",first-line-supervisors-of-protective-service-workers-all-other,protective-service-occupations,7,-,2,-,5,-,2021
Firefighters,firefighters,protective-service-occupations,278,"1,291",261,"1,320",17,-,2021
Fire inspectors,fire-inspectors,protective-service-occupations,24,-,21,-,3,-,2021
Bailiffs,bailiffs,protective-service-occupations,20,-,10,-,10,-,2021
Correctional officers and jailers,correctional-officers-and-jailers,protective-service-occupations,275,920,199,983,76,807,2021
Detectives and criminal investigators,detectives-and-criminal-investigators,protective-service-occupations,120,"1,294",86,"1,319",34,-,2021
Fish and game wardens,fish-and-game-wardens,protective-service-occupations,6,-,6,-,0,-,2021
Parking enforcement workers,parking-enforcement-workers,protective-service-occupations,12,-,9,-,2,-,2021
Police officers,police-officers,protective-service-occupations,751,"1,232",638,"1,242",113,"1,197",2021
Animal control workers,animal-control-workers,protective-service-occupations,7,-,3,-,4,-,2021
Private detectives and investigators,private-detectives-and-investigators,protective-service-occupations,70,"1,018",35,-,35,-,2021
Security guards and gambling surveillance officers,security-guards-and-gambling-surveillance-officers,protective-service-occupations,675,689,502,704,172,641,2021
Crossing guards and flaggers,crossing-guards-and-flaggers,protective-service-occupations,22,-,17,-,6,-,2021
Transportation security screeners,transportation-security-screeners,protective-service-occupations,42,-,21,-,21,-,2021
School bus monitors,school-bus-monitors,protective-service-occupations,14,-,1,-,13,-,2021
Other protective service workers,other-protective-service-workers,protective-service-occupations,48,-,26,-,22,-,2021
Food preparation and serving related occupations,food-preparation-and-serving-related-occupations,service-occupations,"3,863",573,"1,962",598,"1,901",534,2021
Chefs and head cooks,chefs-and-head-cooks,food-preparation-and-serving-related-occupations,319,750,256,777,63,655,2021
First-line supervisors of food preparation and serving workers,first-line-supervisors-of-food-preparation-and-serving-workers,food-preparation-and-serving-related-occupations,349,621,126,706,223,596,2021
Cooks,cooks,food-preparation-and-serving-related-occupations,"1,187",549,751,572,436,512,2021
Food preparation workers,food-preparation-workers,food-preparation-and-serving-related-occupations,439,547,184,571,254,531,2021
Bartenders,bartenders,food-preparation-and-serving-related-occupations,217,668,106,709,111,627,2021
Fast food and counter workers,fast-food-and-counter-workers,food-preparation-and-serving-related-occupations,268,507,96,511,172,503,2021
Waiters and waitresses,waiters-and-waitresses,food-preparation-and-serving-related-occupations,674,576,258,605,416,524,2021
"Food servers, nonrestaurant",food-servers-nonrestaurant,food-preparation-and-serving-related-occupations,102,544,23,-,79,529,2021
Dining room and cafeteria attendants and bartender helpers,dining-room-and-cafeteria-attendants-and-bartender-helpers,food-preparation-and-serving-related-occupations,102,509,52,583,50,477,2021
Dishwashers,dishwashers,food-preparation-and-serving-related-occupations,128,512,92,511,36,-,2021
"Hosts and hostesses, restaurant, lounge, and coffee shop",hosts-and-hostesses-restaurant-lounge-and-coffee-shop,food-preparation-and-serving-related-occupations,77,498,17,-,60,500,2021
"Food preparation and serving related workers, all other",food-preparation-and-serving-related-workers-all-other,food-preparation-and-serving-related-occupations,1,-,0,-,1,-,2021
Building and grounds cleaning and maintenance occupations,building-and-grounds-cleaning-and-maintenance-occupations,service-occupations,"3,347",623,"2,094",685,"1,253",555,2021
First-line supervisors of housekeeping and janitorial workers,first-line-supervisors-of-housekeeping-and-janitorial-workers,building-and-grounds-cleaning-and-maintenance-occupations,176,829,116,881,60,728,2021
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",first-line-supervisors-of-landscaping-lawn-service-and-groundskeeping-workers,building-and-grounds-cleaning-and-maintenance-occupations,76,900,65,907,11,-,2021
Janitors and building cleaners,janitors-and-building-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,"1,437",630,943,675,494,561,2021
Maids and housekeeping cleaners,maids-and-housekeeping-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,744,546,107,622,637,529,2021
Pest control workers,pest-control-workers,building-and-grounds-cleaning-and-maintenance-occupations,108,868,102,876,6,-,2021
Landscaping and groundskeeping workers,landscaping-and-groundskeeping-workers,building-and-grounds-cleaning-and-maintenance-occupations,738,622,693,629,45,-,2021
Tree trimmers and pruners,tree-trimmers-and-pruners,building-and-grounds-cleaning-and-maintenance-occupations,59,846,59,851,1,-,2021
Other grounds maintenance workers,other-grounds-maintenance-workers,building-and-grounds-cleaning-and-maintenance-occupations,9,-,9,-,0,-,2021
Personal care and service occupations,personal-care-and-service-occupations,service-occupations,"1,543",618,387,699,"1,157",603,2021
Supervisors of personal care and service workers,supervisors-of-personal-care-and-service-workers,personal-care-and-service-occupations,92,784,33,-,59,743,2021
Animal trainers,animal-trainers,personal-care-and-service-occupations,27,-,11,-,15,-,2021
Animal caretakers,animal-caretakers,personal-care-and-service-occupations,133,595,29,-,104,600,2021
Gambling services workers,gambling-services-workers,personal-care-and-service-occupations,54,852,26,-,28,-,2021
"Ushers, lobby attendants, and ticket takers",ushers-lobby-attendants-and-ticket-takers,personal-care-and-service-occupations,9,-,5,-,4,-,2021
Other entertainment attendants and related workers,other-entertainment-attendants-and-related-workers,personal-care-and-service-occupations,68,615,41,-,28,-,2021
"Embalmers, crematory operators, and funeral attendants",embalmers-crematory-operators-and-funeral-attendants,personal-care-and-service-occupations,3,-,2,-,1,-,2021
"Morticians, undertakers, and funeral arrangers",morticians-undertakers-and-funeral-arrangers,personal-care-and-service-occupations,18,-,13,-,6,-,2021
Barbers,barbers,personal-care-and-service-occupations,36,-,28,-,8,-,2021
"Hairdressers, hairstylists, and cosmetologists",hairdressers-hairstylists-and-cosmetologists,personal-care-and-service-occupations,252,604,24,-,228,595,2021
Manicurists and pedicurists,manicurists-and-pedicurists,personal-care-and-service-occupations,153,655,26,-,128,624,2021
Skincare specialists,skincare-specialists,personal-care-and-service-occupations,27,-,1,-,26,-,2021
Other personal appearance workers,other-personal-appearance-workers,personal-care-and-service-occupations,2,-,0,-,2,-,2021
"Baggage porters, bellhops, and concierges",baggage-porters-bellhops-and-concierges,personal-care-and-service-occupations,62,612,45,-,17,-,2021
Tour and travel guides,tour-and-travel-guides,personal-care-and-service-occupations,10,-,9,-,1,-,2021
Childcare workers,childcare-workers,personal-care-and-service-occupations,402,569,28,-,374,571,2021
Exercise trainers and group fitness instructors,exercise-trainers-and-group-fitness-instructors,personal-care-and-service-occupations,54,729,24,-,31,-,2021
Recreation workers,recreation-workers,personal-care-and-service-occupations,88,652,27,-,61,653,2021
Residential advisors,residential-advisors,personal-care-and-service-occupations,22,-,6,-,16,-,2021
"Personal care and service workers, all other",personal-care-and-service-workers-all-other,personal-care-and-service-occupations,31,-,8,-,22,-,2021
Sales and office occupations,sales-and-office-occupations,,"21,748",826,"8,677",970,"13,071",766,2021
Sales and related occupations,sales-and-related-occupations,sales-and-office-occupations,"9,281",887,"5,090","1,049","4,191",720,2021
First-line supervisors of retail sales workers,first-line-supervisors-of-retail-sales-workers,sales-and-related-occupations,"2,165",875,"1,175",992,990,733,2021
First-line supervisors of non-retail sales workers,first-line-supervisors-of-non-retail-sales-workers,sales-and-related-occupations,833,"1,191",540,"1,257",292,"1,130",2021
Cashiers,cashiers,sales-and-related-occupations,"1,235",515,346,520,888,513,2021
Counter and rental clerks,counter-and-rental-clerks,sales-and-related-occupations,56,781,37,-,19,-,2021
Parts salespersons,parts-salespersons,sales-and-related-occupations,103,778,84,776,19,-,2021
Retail salespersons,retail-salespersons,sales-and-related-occupations,"1,665",745,999,855,666,635,2021
Advertising sales agents,advertising-sales-agents,sales-and-related-occupations,93,"1,174",44,-,50,"1,136",2021
Insurance sales agents,insurance-sales-agents,sales-and-related-occupations,462,"1,008",213,"1,253",249,839,2021
"Securities, commodities, and financial services sales agents",securities-commodities-and-financial-services-sales-agents,sales-and-related-occupations,206,"1,630",137,"1,891",69,"1,054",2021
Travel agents,travel-agents,sales-and-related-occupations,33,-,10,-,23,-,2021
"Sales representatives of services, except advertising, insurance, financial services, and travel",sales-representatives-of-services-except-advertising-insurance-financial-services-and-travel,sales-and-related-occupations,523,"1,169",368,"1,237",155,"1,122",2021
"Sales representatives, wholesale and manufacturing",sales-representatives-wholesale-and-manufacturing,sales-and-related-occupations,"1,014","1,263",712,"1,356",301,"1,157",2021
"Models, demonstrators, and product promoters",models-demonstrators-and-product-promoters,sales-and-related-occupations,4,-,1,-,3,-,2021
Real estate brokers and sales agents,real-estate-brokers-and-sales-agents,sales-and-related-occupations,524,"1,141",222,"1,324",302,"1,037",2021
Sales engineers,sales-engineers,sales-and-related-occupations,29,-,29,-,0,-,2021
Telemarketers,telemarketers,sales-and-related-occupations,22,-,9,-,13,-,2021
"Door-to-door sales workers, news and street vendors, and related workers",door-to-door-sales-workers-news-and-street-vendors-and-related-workers,sales-and-related-occupations,17,-,7,-,10,-,2021
"Sales and related workers, all other",sales-and-related-workers-all-other,sales-and-related-occupations,298,943,157,"1,017",140,843,2021
Office and administrative support occupations,office-and-administrative-support-occupations,sales-and-office-occupations,"12,467",806,"3,587",899,"8,880",779,2021
First-line supervisors of office and administrative support workers,first-line-supervisors-of-office-and-administrative-support-workers,office-and-administrative-support-occupations,"1,098",964,341,"1,184",757,913,2021
"Switchboard operators, including answering service",switchboard-operators-including-answering-service,office-and-administrative-support-occupations,8,-,2,-,6,-,2021
Telephone operators,telephone-operators,office-and-administrative-support-occupations,17,-,5,-,11,-,2021
"Communications equipment operators, all other",communications-equipment-operators-all-other,office-and-administrative-support-occupations,3,-,1,-,2,-,2021
Bill and account collectors,bill-and-account-collectors,office-and-administrative-support-occupations,81,726,22,-,59,742,2021
Billing and posting clerks,billing-and-posting-clerks,office-and-administrative-support-occupations,398,772,53,767,346,774,2021
"Bookkeeping, accounting, and auditing clerks",bookkeeping-accounting-and-auditing-clerks,office-and-administrative-support-occupations,741,825,137,"1,009",604,802,2021
Gambling cage workers,gambling-cage-workers,office-and-administrative-support-occupations,15,-,3,-,12,-,2021
Payroll and timekeeping clerks,payroll-and-timekeeping-clerks,office-and-administrative-support-occupations,144,921,19,-,125,913,2021
Procurement clerks,procurement-clerks,office-and-administrative-support-occupations,35,-,18,-,17,-,2021
Tellers,tellers,office-and-administrative-support-occupations,173,695,40,-,132,691,2021
"Financial clerks, all other",financial-clerks-all-other,office-and-administrative-support-occupations,95,909,36,-,59,833,2021
Brokerage clerks,brokerage-clerks,office-and-administrative-support-occupations,9,-,4,-,5,-,2021
Correspondence clerks,correspondence-clerks,office-and-administrative-support-occupations,1,-,0,-,1,-,2021
"Court, municipal, and license clerks",court-municipal-and-license-clerks,office-and-administrative-support-occupations,69,811,16,-,53,778,2021
"Credit authorizers, checkers, and clerks",credit-authorizers-checkers-and-clerks,office-and-administrative-support-occupations,40,-,14,-,26,-,2021
Customer service representatives,customer-service-representatives,office-and-administrative-support-occupations,"1,863",780,645,867,"1,219",737,2021
"Eligibility interviewers, government programs",eligibility-interviewers-government-programs,office-and-administrative-support-occupations,67,840,11,-,56,790,2021
File Clerks,file-clerks,office-and-administrative-support-occupations,126,775,29,-,98,791,2021
"Hotel, motel, and resort desk clerks",hotel-motel-and-resort-desk-clerks,office-and-administrative-support-occupations,74,652,20,-,54,653,2021
"Interviewers, except eligibility and loan",interviewers-except-eligibility-and-loan,office-and-administrative-support-occupations,172,772,43,-,130,775,2021
"Library assistants, clerical",library-assistants-clerical,office-and-administrative-support-occupations,29,-,3,-,26,-,2021
Loan interviewers and clerks,loan-interviewers-and-clerks,office-and-administrative-support-occupations,126,899,34,-,91,886,2021
New accounts clerks,new-accounts-clerks,office-and-administrative-support-occupations,9,-,4,-,5,-,2021
Order clerks,order-clerks,office-and-administrative-support-occupations,89,714,37,-,52,712,2021
"Human resources assistants, except payroll and timekeeping",human-resources-assistants-except-payroll-and-timekeeping,office-and-administrative-support-occupations,37,-,7,-,30,-,2021
Receptionists and information clerks,receptionists-and-information-clerks,office-and-administrative-support-occupations,871,685,97,796,774,674,2021
Reservation and transportation ticket agents and travel clerks,reservation-and-transportation-ticket-agents-and-travel-clerks,office-and-administrative-support-occupations,74,786,34,-,39,-,2021
"Information and record clerks, all other",information-and-record-clerks-all-other,office-and-administrative-support-occupations,98,774,19,-,79,751,2021
Cargo and freight agents,cargo-and-freight-agents,office-and-administrative-support-occupations,3,-,3,-,0,-,2021
Couriers and messengers,couriers-and-messengers,office-and-administrative-support-occupations,492,802,402,846,90,680,2021
Public safety telecommunicators,public-safety-telecommunicators,office-and-administrative-support-occupations,82,911,24,-,58,908,2021
"Dispatchers, except police, fire, and ambulance",dispatchers-except-police-fire-and-ambulance,office-and-administrative-support-occupations,163,812,92,842,71,765,2021
"Meter readers, utilities",meter-readers-utilities,office-and-administrative-support-occupations,30,-,28,-,2,-,2021
Postal service clerks,postal-service-clerks,office-and-administrative-support-occupations,96,"1,047",31,-,66,"1,006",2021
Postal service mail carriers,postal-service-mail-carriers,office-and-administrative-support-occupations,259,992,155,"1,008",104,978,2021
"Postal service mail sorters, processors, and processing machine operators",postal-service-mail-sorters-processors-and-processing-machine-operators,office-and-administrative-support-occupations,76,879,39,-,37,-,2021
"Production, planning, and expediting clerks",production-planning-and-expediting-clerks,office-and-administrative-support-occupations,184,"1,115",93,"1,174",91,"1,018",2021
"Shipping, receiving, and inventory clerks",shipping-receiving-and-inventory-clerks,office-and-administrative-support-occupations,537,725,346,748,191,696,2021
"Weighers, measurers, checkers, and samplers, recordkeeping",weighers-measurers-checkers-and-samplers-recordkeeping,office-and-administrative-support-occupations,42,-,29,-,12,-,2021
Executive secretaries and executive administrative assistants,executive-secretaries-and-executive-administrative-assistants,office-and-administrative-support-occupations,211,"1,027",10,-,201,"1,015",2021
Legal secretaries and administrative assistants,legal-secretaries-and-administrative-assistants,office-and-administrative-support-occupations,46,-,2,-,44,-,2021
Medical secretaries and administrative assistants,medical-secretaries-and-administrative-assistants,office-and-administrative-support-occupations,53,756,5,-,48,-,2021
"Secretaries and administrative assistants, except legal, medical, and executive",secretaries-and-administrative-assistants-except-legal-medical-and-executive,office-and-administrative-support-occupations,"1,532",819,127,"1,006","1,405",807,2021
Data entry keyers,data-entry-keyers,office-and-administrative-support-occupations,195,718,47,-,148,712,2021
Word processors and typists,word-processors-and-typists,office-and-administrative-support-occupations,23,-,2,-,21,-,2021
Desktop publishers,desktop-publishers,office-and-administrative-support-occupations,1,-,1,-,0,-,2021
Insurance claims and policy processing clerks,insurance-claims-and-policy-processing-clerks,office-and-administrative-support-occupations,262,763,60,754,202,766,2021
"Mail clerks and mail machine operators, except postal service",mail-clerks-and-mail-machine-operators-except-postal-service,office-and-administrative-support-occupations,40,-,24,-,16,-,2021
"Office clerks, general",office-clerks-general,office-and-administrative-support-occupations,927,744,157,823,770,726,2021
"Office machine operators, except computer",office-machine-operators-except-computer,office-and-administrative-support-occupations,22,-,2,-,20,-,2021
Proofreaders and copy markers,proofreaders-and-copy-markers,office-and-administrative-support-occupations,4,-,1,-,3,-,2021
Statistical assistants,statistical-assistants,office-and-administrative-support-occupations,42,-,26,-,16,-,2021
"Office and administrative support workers, all other",office-and-administrative-support-workers-all-other,office-and-administrative-support-occupations,582,890,187,949,395,874,2021
"Natural resources, construction, and maintenance occupations",natural-resources-construction-and-maintenance-occupations,,"11,182",919,"10,635",930,547,696,2021
"Farming, fishing, and forestry occupations",farming-fishing-and-forestry-occupations,natural-resources-construction-and-maintenance-occupations,800,623,651,637,149,585,2021
"First-line supervisors of farming, fishing, and forestry workers",first-line-supervisors-of-farming-fishing-and-forestry-workers,farming-fishing-and-forestry-occupations,35,-,32,-,2,-,2021
Agricultural inspectors,agricultural-inspectors,farming-fishing-and-forestry-occupations,11,-,8,-,3,-,2021
Animal breeders,animal-breeders,farming-fishing-and-forestry-occupations,6,-,3,-,4,-,2021
"Graders and sorters, agricultural products",graders-and-sorters-agricultural-products,farming-fishing-and-forestry-occupations,41,-,16,-,26,-,2021
Miscellaneous agricultural workers,miscellaneous-agricultural-workers,farming-fishing-and-forestry-occupations,641,613,531,617,110,590,2021
Fishing and hunting workers,fishing-and-hunting-workers,farming-fishing-and-forestry-occupations,16,-,15,-,1,-,2021
Forest and conservation workers,forest-and-conservation-workers,farming-fishing-and-forestry-occupations,12,-,9,-,2,-,2021
Logging workers,logging-workers,farming-fishing-and-forestry-occupations,38,-,37,-,1,-,2021
Construction and extraction occupations,construction-and-extraction-occupations,natural-resources-construction-and-maintenance-occupations,"6,171",904,"5,965",908,207,720,2021
First-line supervisors of construction trades and extraction workers,first-line-supervisors-of-construction-trades-and-extraction-workers,construction-and-extraction-occupations,545,"1,208",522,"1,213",24,-,2021
Boilermakers,boilermakers,construction-and-extraction-occupations,23,-,23,-,0,-,2021
"Brickmasons, blockmasons, and stonemasons",brickmasons-blockmasons-and-stonemasons,construction-and-extraction-occupations,77,867,74,868,3,-,2021
Carpenters,carpenters,construction-and-extraction-occupations,830,850,801,864,29,-,2021
"Carpet, floor, and tile installers and finishers",carpet-floor-and-tile-installers-and-finishers,construction-and-extraction-occupations,104,778,93,783,10,-,2021
"Cement masons, concrete finishers, and terrazzo workers",cement-masons-concrete-finishers-and-terrazzo-workers,construction-and-extraction-occupations,63,917,63,917,0,-,2021
Construction laborers,construction-laborers,construction-and-extraction-occupations,"1,503",766,"1,457",771,45,-,2021
Construction equipment operators,construction-equipment-operators,construction-and-extraction-occupations,334,992,326,990,8,-,2021
"Drywall installers, ceiling tile installers, and tapers",drywall-installers-ceiling-tile-installers-and-tapers,construction-and-extraction-occupations,133,704,128,709,4,-,2021
Electricians,electricians,construction-and-extraction-occupations,737,"1,060",720,"1,064",17,-,2021
Glaziers,glaziers,construction-and-extraction-occupations,45,-,42,-,3,-,2021
Insulation workers,insulation-workers,construction-and-extraction-occupations,30,-,29,-,1,-,2021
Painters and paperhangers,painters-and-paperhangers,construction-and-extraction-occupations,360,741,340,759,20,-,2021
Pipelayers,pipelayers,construction-and-extraction-occupations,36,-,34,-,2,-,2021
"Plumbers, pipefitters, and steamfitters",plumbers-pipefitters-and-steamfitters,construction-and-extraction-occupations,506,992,496,986,10,-,2021
Plasterers and stucco masons,plasterers-and-stucco-masons,construction-and-extraction-occupations,15,-,15,-,0,-,2021
Reinforcing iron and rebar workers,reinforcing-iron-and-rebar-workers,construction-and-extraction-occupations,9,-,9,-,0,-,2021
Roofers,roofers,construction-and-extraction-occupations,151,685,148,681,2,-,2021
Sheet metal workers,sheet-metal-workers,construction-and-extraction-occupations,115,979,111,988,4,-,2021
Structural iron and steel workers,structural-iron-and-steel-workers,construction-and-extraction-occupations,35,-,33,-,2,-,2021
Solar photovoltaic installers,solar-photovoltaic-installers,construction-and-extraction-occupations,20,-,20,-,0,-,2021
"Helpers, construction trades",helpers-construction-trades,construction-and-extraction-occupations,63,691,60,701,3,-,2021
Construction and building inspectors,construction-and-building-inspectors,construction-and-extraction-occupations,65,988,58,"1,013",7,-,2021
Elevator and escalator installers and repairers,elevator-and-escalator-installers-and-repairers,construction-and-extraction-occupations,37,-,33,-,4,-,2021
Fence erectors,fence-erectors,construction-and-extraction-occupations,25,-,25,-,0,-,2021
Hazardous materials removal workers,hazardous-materials-removal-workers,construction-and-extraction-occupations,25,-,22,-,3,-,2021
Highway maintenance workers,highway-maintenance-workers,construction-and-extraction-occupations,90,880,87,866,2,-,2021
Rail-track laying and maintenance equipment operators,rail-track-laying-and-maintenance-equipment-operators,construction-and-extraction-occupations,11,-,11,-,0,-,2021
Septic tank servicers and sewer pipe cleaners,septic-tank-servicers-and-sewer-pipe-cleaners,construction-and-extraction-occupations,9,-,9,-,0,-,2021
Miscellaneous construction and related workers,miscellaneous-construction-and-related-workers,construction-and-extraction-occupations,19,-,19,-,0,-,2021
"Derrick, rotary drill, and service unit operators, oil and gas",derrick-rotary-drill-and-service-unit-operators-oil-and-gas,construction-and-extraction-occupations,20,-,20,-,0,-,2021
"Excavating and loading machine and dragline operators, surface mining",excavating-and-loading-machine-and-dragline-operators-surface-mining,construction-and-extraction-occupations,4,-,4,-,0,-,2021
"Earth drillers, except oil and gas",earth-drillers-except-oil-and-gas,construction-and-extraction-occupations,30,-,30,-,0,-,2021
"Explosives workers, ordnance handling experts, and blasters",explosives-workers-ordnance-handling-experts-and-blasters,construction-and-extraction-occupations,11,-,10,-,2,-,2021
Underground mining machine operators,underground-mining-machine-operators,construction-and-extraction-occupations,35,-,34,-,1,-,2021
"Roustabouts, oil and gas",roustabouts-oil-and-gas,construction-and-extraction-occupations,3,-,3,-,0,-,2021
Other extraction workers,other-extraction-workers,construction-and-extraction-occupations,55,"1,160",55,"1,159",0,-,2021
"Installation, maintenance, and repair occupations",installation-maintenance-and-repair-occupations,natural-resources-construction-and-maintenance-occupations,"4,211","1,017","4,019","1,023",192,836,2021
"First-line supervisors of mechanics, installers, and repairers",first-line-supervisors-of-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,217,"1,304",199,"1,335",18,-,2021
"Computer, automated teller, and office machine repairers",computer-automated-teller-and-office-machine-repairers,installation-maintenance-and-repair-occupations,148,"1,017",126,"1,058",23,-,2021
Radio and telecommunications equipment installers and repairers,radio-and-telecommunications-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,127,"1,225",121,"1,269",7,-,2021
Avionics technicians,avionics-technicians,installation-maintenance-and-repair-occupations,3,-,3,-,0,-,2021
"Electric motor, power tool, and related repairers",electric-motor-power-tool-and-related-repairers,installation-maintenance-and-repair-occupations,17,-,17,-,0,-,2021
"Electrical and electronics installers and repairers, transportation equipment",electrical-and-electronics-installers-and-repairers-transportation-equipment,installation-maintenance-and-repair-occupations,1,-,1,-,0,-,2021
"Electrical and electronics repairers, industrial and utility",electrical-and-electronics-repairers-industrial-and-utility,installation-maintenance-and-repair-occupations,16,-,12,-,4,-,2021
"Electronic equipment installers and repairers, motor vehicles",electronic-equipment-installers-and-repairers-motor-vehicles,installation-maintenance-and-repair-occupations,8,-,7,-,1,-,2021
Audiovisual equipment installers and repairers,audiovisual-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,13,-,13,-,0,-,2021
Security and fire alarm systems installers,security-and-fire-alarm-systems-installers,installation-maintenance-and-repair-occupations,63,"1,008",60,999,3,-,2021
Aircraft mechanics and service technicians,aircraft-mechanics-and-service-technicians,installation-maintenance-and-repair-occupations,152,"1,282",146,"1,297",6,-,2021
Automotive body and related repairers,automotive-body-and-related-repairers,installation-maintenance-and-repair-occupations,113,990,109,995,5,-,2021
Automotive glass installers and repairers,automotive-glass-installers-and-repairers,installation-maintenance-and-repair-occupations,24,-,23,-,1,-,2021
Automotive service technicians and mechanics,automotive-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,651,906,636,909,15,-,2021
Bus and truck mechanics and diesel engine specialists,bus-and-truck-mechanics-and-diesel-engine-specialists,installation-maintenance-and-repair-occupations,318,996,312,993,5,-,2021
Heavy vehicle and mobile equipment service technicians and mechanics,heavy-vehicle-and-mobile-equipment-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,237,"1,122",234,"1,120",3,-,2021
Small engine mechanics,small-engine-mechanics,installation-maintenance-and-repair-occupations,36,-,34,-,2,-,2021
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",miscellaneous-vehicle-and-mobile-equipment-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,75,781,73,786,2,-,2021
Control and valve installers and repairers,control-and-valve-installers-and-repairers,installation-maintenance-and-repair-occupations,15,-,15,-,0,-,2021
"Heating, air conditioning, and refrigeration mechanics and installers",heating-air-conditioning-and-refrigeration-mechanics-and-installers,installation-maintenance-and-repair-occupations,370,"1,009",367,"1,009",3,-,2021
Home appliance repairers,home-appliance-repairers,installation-maintenance-and-repair-occupations,30,-,27,-,3,-,2021
Industrial and refractory machinery mechanics,industrial-and-refractory-machinery-mechanics,installation-maintenance-and-repair-occupations,426,"1,050",399,"1,056",27,-,2021
"Maintenance and repair workers, general",maintenance-and-repair-workers-general,installation-maintenance-and-repair-occupations,556,958,527,978,29,-,2021
"Maintenance workers, machinery",maintenance-workers-machinery,installation-maintenance-and-repair-occupations,23,-,23,-,0,-,2021
Millwrights,millwrights,installation-maintenance-and-repair-occupations,47,-,43,-,4,-,2021
Electrical power-line installers and repairers,electrical-power-line-installers-and-repairers,installation-maintenance-and-repair-occupations,123,"1,219",122,"1,217",0,-,2021
Telecommunications line installers and repairers,telecommunications-line-installers-and-repairers,installation-maintenance-and-repair-occupations,128,"1,078",120,"1,090",8,-,2021
Precision instrument and equipment repairers,precision-instrument-and-equipment-repairers,installation-maintenance-and-repair-occupations,54,"1,150",47,-,7,-,2021
Wind turbine service technicians,wind-turbine-service-technicians,installation-maintenance-and-repair-occupations,12,-,12,-,0,-,2021
"Coin, vending, and amusement machine servicers and repairers",coin-vending-and-amusement-machine-servicers-and-repairers,installation-maintenance-and-repair-occupations,22,-,19,-,4,-,2021
Commercial divers,commercial-divers,installation-maintenance-and-repair-occupations,0,-,0,-,0,-,2021
Locksmiths and safe repairers,locksmiths-and-safe-repairers,installation-maintenance-and-repair-occupations,19,-,17,-,2,-,2021
