Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",first-line-supervisors-of-landscaping-lawn-service-and-groundskeeping-workers,building-and-grounds-cleaning-and-maintenance-occupations,108,786,102,785,6,–,2020
Janitors and building cleaners,janitors-and-building-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,"1,372",614,925,662,447,522,2020
Maids and housekeeping cleaners,maids-and-housekeeping-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,629,503,98,556,531,497,2020
Pest control workers,pest-control-workers,building-and-grounds-cleaning-and-maintenance-occupations,90,749,87,747,3,–,2020
Landscaping and groundskeeping workers,landscaping-and-groundskeeping-workers,building-and-grounds-cleaning-and-maintenance-occupations,665,605,635,603,30,–,2020
Tree trimmers and pruners,tree-trimmers-and-pruners,building-and-grounds-cleaning-and-maintenance-occupations,82,666,77,684,5,–,2020
Other grounds maintenance workers,other-grounds-maintenance-workers,building-and-grounds-cleaning-and-maintenance-occupations,21,–,20,–,1,–,2020
Personal care and service occupations,personal-care-and-service-occupations,service-occupations,"1,380",616,376,740,"1,004",591,2020
Supervisors of personal care and service workers,supervisors-of-personal-care-and-service-workers,personal-care-and-service-occupations,96,761,35,–,60,719,2020
Animal trainers,animal-trainers,personal-care-and-service-occupations,34,–,12,–,22,–,2020
Animal caretakers,animal-caretakers,personal-care-and-service-occupations,108,626,22,–,86,591,2020
Gambling services workers,gambling-services-workers,personal-care-and-service-occupations,53,765,27,–,26,–,2020
"Ushers, lobby attendants, and ticket takers",ushers-lobby-attendants-and-ticket-takers,personal-care-and-service-occupations,3,–,1,–,1,–,2020
Other entertainment attendants and related workers,other-entertainment-attendants-and-related-workers,personal-care-and-service-occupations,47,–,31,–,15,–,2020
"Embalmers, crematory operators, and funeral attendants",embalmers-crematory-operators-and-funeral-attendants,personal-care-and-service-occupations,8,–,7,–,2,–,2020
"Morticians, undertakers, and funeral arrangers",morticians-undertakers-and-funeral-arrangers,personal-care-and-service-occupations,10,–,8,–,2,–,2020
Barbers,barbers,personal-care-and-service-occupations,49,–,39,–,11,–,2020
"Hairdressers, hairstylists, and cosmetologists",hairdressers-hairstylists-and-cosmetologists,personal-care-and-service-occupations,205,606,24,–,180,601,2020
Manicurists and pedicurists,manicurists-and-pedicurists,personal-care-and-service-occupations,110,607,26,–,84,578,2020
Skincare specialists,skincare-specialists,personal-care-and-service-occupations,23,–,3,–,20,–,2020
Other personal appearance workers,other-personal-appearance-workers,personal-care-and-service-occupations,5,–,0,–,5,–,2020
"Baggage porters, bellhops, and concierges",baggage-porters-bellhops-and-concierges,personal-care-and-service-occupations,44,–,28,–,16,–,2020
Tour and travel guides,tour-and-travel-guides,personal-care-and-service-occupations,16,–,13,–,3,–,2020
Childcare workers,childcare-workers,personal-care-and-service-occupations,383,537,25,–,358,542,2020
Exercise trainers and group fitness instructors,exercise-trainers-and-group-fitness-instructors,personal-care-and-service-occupations,53,618,20,–,33,–,2020
Recreation workers,recreation-workers,personal-care-and-service-occupations,80,715,29,–,51,658,2020
Residential advisors,residential-advisors,personal-care-and-service-occupations,17,–,10,–,7,–,2020
"Personal care and service workers, all other",personal-care-and-service-workers-all-other,personal-care-and-service-occupations,37,–,14,–,22,–,2020
Sales and office occupations,sales-and-office-occupations,,"21,165",809,"8,435",956,"12,729",746,2020
Sales and related occupations,sales-and-related-occupations,sales-and-office-occupations,"8,958",880,"4,991","1,046","3,967",715,2020
First-line supervisors of retail sales workers,first-line-supervisors-of-retail-sales-workers,sales-and-related-occupations,"2,141",858,"1,181",981,960,733,2020
First-line supervisors of non-retail sales workers,first-line-supervisors-of-non-retail-sales-workers,sales-and-related-occupations,783,"1,226",510,"1,338",273,"1,076",2020
Cashiers,cashiers,sales-and-related-occupations,"1,088",507,284,524,805,501,2020
Counter and rental clerks,counter-and-rental-clerks,sales-and-related-occupations,48,–,27,–,21,–,2020
Parts salespersons,parts-salespersons,sales-and-related-occupations,97,741,77,756,20,–,2020
Retail salespersons,retail-salespersons,sales-and-related-occupations,"1,603",705,992,779,611,603,2020
Advertising sales agents,advertising-sales-agents,sales-and-related-occupations,120,"1,066",50,"1,199",69,"1,055",2020
Insurance sales agents,insurance-sales-agents,sales-and-related-occupations,469,931,226,"1,169",242,825,2020
"Securities, commodities, and financial services sales agents",securities-commodities-and-financial-services-sales-agents,sales-and-related-occupations,200,"1,545",158,"1,880",41,–,2020
Travel agents,travel-agents,sales-and-related-occupations,30,–,7,–,23,–,2020
"Sales representatives of services, except advertising, insurance, financial services, and travel",sales-representatives-of-services-except-advertising-insurance-financial-services-and-travel,sales-and-related-occupations,497,"1,351",333,"1,482",163,"1,101",2020
"Sales representatives, wholesale and manufacturing",sales-representatives-wholesale-and-manufacturing,sales-and-related-occupations,"1,073","1,275",758,"1,378",315,"1,065",2020
"Models, demonstrators, and product promoters",models-demonstrators-and-product-promoters,sales-and-related-occupations,6,–,3,–,3,–,2020
Real estate brokers and sales agents,real-estate-brokers-and-sales-agents,sales-and-related-occupations,498,"1,084",215,"1,352",283,937,2020
Sales engineers,sales-engineers,sales-and-related-occupations,37,–,32,–,5,–,2020
Telemarketers,telemarketers,sales-and-related-occupations,28,–,13,–,15,–,2020
"Door-to-door sales workers, news and street vendors, and related workers",door-to-door-sales-workers-news-and-street-vendors-and-related-workers,sales-and-related-occupations,34,–,23,–,12,–,2020
"Sales and related workers, all other",sales-and-related-workers-all-other,sales-and-related-occupations,206,950,100,"1,039",106,838,2020
Office and administrative support occupations,office-and-administrative-support-occupations,sales-and-office-occupations,"12,207",781,"3,445",868,"8,762",756,2020
First-line supervisors of office and administrative support workers,first-line-supervisors-of-office-and-administrative-support-workers,office-and-administrative-support-occupations,"1,129",966,395,"1,145",734,925,2020
"Switchboard operators, including answering service",switchboard-operators-including-answering-service,office-and-administrative-support-occupations,8,–,1,–,7,–,2020
Telephone operators,telephone-operators,office-and-administrative-support-occupations,19,–,6,–,14,–,2020
"Communications equipment operators, all other",communications-equipment-operators-all-other,office-and-administrative-support-occupations,8,–,6,–,3,–,2020
Bill and account collectors,bill-and-account-collectors,office-and-administrative-support-occupations,96,758,27,–,69,744,2020
Billing and posting clerks,billing-and-posting-clerks,office-and-administrative-support-occupations,379,749,40,–,339,736,2020
"Bookkeeping, accounting, and auditing clerks",bookkeeping-accounting-and-auditing-clerks,office-and-administrative-support-occupations,741,824,105,"1,101",636,809,2020
Gambling cage workers,gambling-cage-workers,office-and-administrative-support-occupations,11,–,5,–,6,–,2020
Payroll and timekeeping clerks,payroll-and-timekeeping-clerks,office-and-administrative-support-occupations,129,945,18,–,111,921,2020
Procurement clerks,procurement-clerks,office-and-administrative-support-occupations,27,–,11,–,16,–,2020
Tellers,tellers,office-and-administrative-support-occupations,225,639,42,–,183,634,2020
"Financial clerks, all other",financial-clerks-all-other,office-and-administrative-support-occupations,90,"1,039",31,–,58,903,2020
Brokerage clerks,brokerage-clerks,office-and-administrative-support-occupations,4,–,2,–,3,–,2020
Correspondence clerks,correspondence-clerks,office-and-administrative-support-occupations,3,–,0,–,3,–,2020
"Court, municipal, and license clerks",court-municipal-and-license-clerks,office-and-administrative-support-occupations,73,777,8,–,65,764,2020
"Credit authorizers, checkers, and clerks",credit-authorizers-checkers-and-clerks,office-and-administrative-support-occupations,41,–,13,–,28,–,2020
Customer service representatives,customer-service-representatives,office-and-administrative-support-occupations,"1,814",721,655,771,"1,160",698,2020
"Eligibility interviewers, government programs",eligibility-interviewers-government-programs,office-and-administrative-support-occupations,71,898,17,–,54,824,2020
File clerks,file-clerks,office-and-administrative-support-occupations,138,751,32,–,106,744,2020
"Hotel, motel, and resort desk clerks",hotel-motel-and-resort-desk-clerks,office-and-administrative-support-occupations,60,534,10,–,50,520,2020
"Interviewers, except eligibility and loan",interviewers-except-eligibility-and-loan,office-and-administrative-support-occupations,155,711,33,–,123,710,2020
"Library assistants, clerical",library-assistants-clerical,office-and-administrative-support-occupations,25,–,6,–,19,–,2020
Loan interviewers and clerks,loan-interviewers-and-clerks,office-and-administrative-support-occupations,135,911,32,–,103,874,2020
New accounts clerks,new-accounts-clerks,office-and-administrative-support-occupations,22,–,8,–,14,–,2020
Order clerks,order-clerks,office-and-administrative-support-occupations,75,704,36,–,39,–,2020
"Human resources assistants, except payroll and timekeeping",human-resources-assistants-except-payroll-and-timekeeping,office-and-administrative-support-occupations,44,–,6,–,38,–,2020
Receptionists and information clerks,receptionists-and-information-clerks,office-and-administrative-support-occupations,846,642,108,688,738,636,2020
Reservation and transportation ticket agents and travel clerks,reservation-and-transportation-ticket-agents-and-travel-clerks,office-and-administrative-support-occupations,81,879,37,–,44,–,2020
"Information and record clerks, all other",information-and-record-clerks-all-other,office-and-administrative-support-occupations,81,915,24,–,57,830,2020
Cargo and freight agents,cargo-and-freight-agents,office-and-administrative-support-occupations,16,–,9,–,7,–,2020
Couriers and messengers,couriers-and-messengers,office-and-administrative-support-occupations,340,779,284,814,55,701,2020
Public safety telecommunicators,public-safety-telecommunicators,office-and-administrative-support-occupations,102,858,42,–,60,799,2020
"Dispatchers, except police, fire, and ambulance",dispatchers-except-police-fire-and-ambulance,office-and-administrative-support-occupations,178,768,84,908,95,717,2020
"Meter readers, utilities",meter-readers-utilities,office-and-administrative-support-occupations,18,–,17,–,1,–,2020
Postal service clerks,postal-service-clerks,office-and-administrative-support-occupations,80,"1,010",35,–,45,–,2020
Postal service mail carriers,postal-service-mail-carriers,office-and-administrative-support-occupations,290,"1,017",185,"1,089",104,962,2020
"Postal service mail sorters, processors, and processing machine operators",postal-service-mail-sorters-processors-and-processing-machine-operators,office-and-administrative-support-occupations,60,977,34,–,26,–,2020
"Production, planning, and expediting clerks",production-planning-and-expediting-clerks,office-and-administrative-support-occupations,243,"1,072",118,"1,227",125,908,2020
"Shipping, receiving, and inventory clerks",shipping-receiving-and-inventory-clerks,office-and-administrative-support-occupations,505,696,340,713,165,667,2020
"Weighers, measurers, checkers, and samplers, recordkeeping",weighers-measurers-checkers-and-samplers-recordkeeping,office-and-administrative-support-occupations,53,729,30,–,23,–,2020
Executive secretaries and executive administrative assistants,executive-secretaries-and-executive-administrative-assistants,office-and-administrative-support-occupations,170,991,12,–,158,991,2020
Legal secretaries and administrative assistants,legal-secretaries-and-administrative-assistants,office-and-administrative-support-occupations,54,914,12,–,42,–,2020
Medical secretaries and administrative assistants,medical-secretaries-and-administrative-assistants,office-and-administrative-support-occupations,63,804,4,–,59,800,2020
"Secretaries and administrative assistants, except legal, medical, and executive",secretaries-and-administrative-assistants-except-legal-medical-and-executive,office-and-administrative-support-occupations,"1,607",781,112,929,"1,496",777,2020
Data entry keyers,data-entry-keyers,office-and-administrative-support-occupations,180,710,51,803,128,700,2020
Word processors and typists,word-processors-and-typists,office-and-administrative-support-occupations,32,–,6,–,26,–,2020
Desktop publishers,desktop-publishers,office-and-administrative-support-occupations,0,–,0,–,0,–,2020
