Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"Total, full-time wage and salary workers",total-full-time-wage-and-salary-workers,,"110,387",984,"60,911","1,082","49,476",891,2020
"Management, professional, and related occupations",management-professional-and-related-occupations,,"50,023","1,356","24,090","1,578","25,933","1,164",2020
"Management, business, and financial operations occupations",management-business-and-financial-operations-occupations,management-professional-and-related-occupations,"20,811","1,461","11,082","1,667","9,729","1,274",2020
Management occupations,management-occupations,management-business-and-financial-operations-occupations,"13,517","1,541","7,770","1,737","5,747","1,347",2020
Chief executives,chief-executives,management-occupations,"1,157","2,402",794,"2,712",363,"2,051",2020
General and operations managers,general-and-operations-managers,management-occupations,983,"1,453",702,"1,541",281,"1,241",2020
Legislators,legislators,management-occupations,11,–,9,–,3,–,2020
Advertising and promotions managers,advertising-and-promotions-managers,management-occupations,46,–,19,–,27,–,2020
Marketing managers,marketing-managers,management-occupations,483,"1,537",199,"1,732",284,"1,435",2020
Sales managers,sales-managers,management-occupations,495,"1,794",332,"1,896",163,"1,411",2020
Public relations and fundraising managers,public-relations-and-fundraising-managers,management-occupations,74,"1,344",25,–,50,"1,286",2020
Administrative services managers,administrative-services-managers,management-occupations,62,"1,284",22,–,41,–,2020
Facilities managers,facilities-managers,management-occupations,122,"1,318",89,"1,389",33,–,2020
Computer and information systems managers,computer-and-information-systems-managers,management-occupations,703,"2,018",516,"2,091",187,"1,910",2020
Financial managers,financial-managers,management-occupations,"1,228","1,492",603,"1,880",624,"1,242",2020
Compensation and benefits managers,compensation-and-benefits-managers,management-occupations,14,–,1,–,13,–,2020
Human resources managers,human-resources-managers,management-occupations,264,"1,644",70,"1,748",194,"1,599",2020
Training and development managers,training-and-development-managers,management-occupations,47,–,27,–,20,–,2020
Industrial production managers,industrial-production-managers,management-occupations,248,"1,550",195,"1,582",53,"1,402",2020
Purchasing managers,purchasing-managers,management-occupations,221,"1,544",123,"1,636",98,"1,441",2020
"Transportation, storage, and distribution managers",transportation-storage-and-distribution-managers,management-occupations,266,972,212,989,55,943,2020
"Farmers, ranchers, and other agricultural managers",farmers-ranchers-and-other-agricultural-managers,management-occupations,109,874,92,874,17,–,2020
Construction managers,construction-managers,management-occupations,606,"1,575",556,"1,586",50,"1,368",2020
Education and childcare administrators,education-and-childcare-administrators,management-occupations,846,"1,462",286,"1,590",560,"1,400",2020
Architectural and engineering managers,architectural-and-engineering-managers,management-occupations,155,"2,413",140,"2,402",15,–,2020
Food service managers,food-service-managers,management-occupations,707,877,363,"1,006",344,791,2020
Funeral home managers,funeral-home-managers,management-occupations,6,–,4,–,3,–,2020
Entertainment and recreation managers,entertainment-and-recreation-managers,management-occupations,34,–,24,–,9,–,2020
Lodging managers,lodging-managers,management-occupations,74,888,36,–,38,–,2020
Medical and health services managers,medical-and-health-services-managers,management-occupations,629,"1,555",192,"1,839",438,"1,464",2020
Natural sciences managers,natural-sciences-managers,management-occupations,11,–,3,–,8,–,2020
Postmasters and mail superintendents,postmasters-and-mail-superintendents,management-occupations,19,–,9,–,10,–,2020
"Property, real estate, and community association managers",property-real-estate-and-community-association-managers,management-occupations,433,"1,140",209,"1,182",224,"1,086",2020
Social and community service managers,social-and-community-service-managers,management-occupations,330,"1,234",90,"1,580",240,"1,163",2020
Emergency management directors,emergency-management-directors,management-occupations,10,–,7,–,3,–,2020
"Personal service managers, all other",personal-service-managers-all-other,management-occupations,2,–,1,–,1,–,2020
"Managers, all other",managers-all-other,management-occupations,"3,120","1,564","1,821","1,749","1,299","1,379",2020
Business and financial operations occupations,business-and-financial-operations-occupations,management-business-and-financial-operations-occupations,"7,294","1,363","3,312","1,550","3,982","1,209",2020
"Agents and business managers of artists, performers, and athletes",agents-and-business-managers-of-artists-performers-and-athletes,business-and-financial-operations-occupations,27,–,12,–,15,–,2020
"Buyers and purchasing agents, farm products",buyers-and-purchasing-agents-farm-products,business-and-financial-operations-occupations,9,–,5,–,4,–,2020
"Wholesale and retail buyers, except farm products",wholesale-and-retail-buyers-except-farm-products,business-and-financial-operations-occupations,130,"1,053",64,"1,047",66,"1,066",2020
"Purchasing agents, except wholesale, retail, and farm products",purchasing-agents-except-wholesale-retail-and-farm-products,business-and-financial-operations-occupations,219,"1,231",106,"1,387",113,"1,138",2020
"Claims adjusters, appraisers, examiners, and investigators",claims-adjusters-appraisers-examiners-and-investigators,business-and-financial-operations-occupations,325,"1,108",122,"1,336",203,967,2020
Compliance officers,compliance-officers,business-and-financial-operations-occupations,286,"1,372",119,"1,373",167,"1,371",2020
Cost estimators,cost-estimators,business-and-financial-operations-occupations,111,"1,434",96,"1,456",15,–,2020
Human resources workers,human-resources-workers,business-and-financial-operations-occupations,739,"1,251",185,"1,443",553,"1,174",2020
"Compensation, benefits, and job analysis specialists",compensation-benefits-and-job-analysis-specialists,business-and-financial-operations-occupations,67,"1,143",14,–,53,"1,041",2020
Training and development specialists,training-and-development-specialists,business-and-financial-operations-occupations,103,"1,255",43,–,60,"1,171",2020
Logisticians,logisticians,business-and-financial-operations-occupations,134,"1,173",84,"1,256",50,"1,140",2020
Project management specialists,project-management-specialists,business-and-financial-operations-occupations,644,"1,560",350,"1,693",295,"1,468",2020
Management analysts,management-analysts,business-and-financial-operations-occupations,658,"1,629",384,"1,856",273,"1,455",2020
"Meeting, convention, and event planners",meeting-convention-and-event-planners,business-and-financial-operations-occupations,92,"1,049",29,–,63,996,2020
Fundraisers,fundraisers,business-and-financial-operations-occupations,91,"1,479",26,–,65,"1,486",2020
Market research analysts and marketing specialists,market-research-analysts-and-marketing-specialists,business-and-financial-operations-occupations,358,"1,326",145,"1,608",212,"1,198",2020
"Business operations specialists, all other",business-operations-specialists-all-other,business-and-financial-operations-occupations,271,"1,273",126,"1,540",144,"1,086",2020
Accountants and auditors,accountants-and-auditors,business-and-financial-operations-occupations,"1,488","1,298",595,"1,520",893,"1,186",2020
Property appraisers and assessors,property-appraisers-and-assessors,business-and-financial-operations-occupations,51,"1,225",32,–,19,–,2020
Budget analysts,budget-analysts,business-and-financial-operations-occupations,66,"1,461",33,–,32,–,2020
Credit analysts,credit-analysts,business-and-financial-operations-occupations,20,–,9,–,11,–,2020
Financial and investment analysts,financial-and-investment-analysts,business-and-financial-operations-occupations,310,"1,590",182,"1,742",128,"1,488",2020
Personal financial advisors,personal-financial-advisors,business-and-financial-operations-occupations,400,"1,638",251,"1,900",149,"1,291",2020
Insurance underwriters,insurance-underwriters,business-and-financial-operations-occupations,101,"1,261",42,–,59,"1,141",2020
Financial examiners,financial-examiners,business-and-financial-operations-occupations,21,–,8,–,13,–,2020
Credit counselors and loan officers,credit-counselors-and-loan-officers,business-and-financial-operations-occupations,391,"1,199",169,"1,492",222,"1,013",2020
"Tax examiners and collectors, and revenue agents",tax-examiners-and-collectors-and-revenue-agents,business-and-financial-operations-occupations,59,"1,086",26,–,33,–,2020
Tax preparers,tax-preparers,business-and-financial-operations-occupations,44,–,17,–,27,–,2020
Other financial specialists,other-financial-specialists,business-and-financial-operations-occupations,80,"1,328",37,–,43,–,2020
Professional and related occupations,professional-and-related-occupations,management-professional-and-related-occupations,"29,213","1,270","13,008","1,532","16,204","1,121",2020
Computer and mathematical occupations,computer-and-mathematical-occupations,professional-and-related-occupations,"5,083","1,633","3,838","1,738","1,246","1,423",2020
Computer and information research scientists,computer-and-information-research-scientists,computer-and-mathematical-occupations,39,–,30,–,9,–,2020
Computer systems analysts,computer-systems-analysts,computer-and-mathematical-occupations,529,"1,515",353,"1,621",175,"1,413",2020
Information security analysts,information-security-analysts,computer-and-mathematical-occupations,125,"2,078",114,"2,082",11,–,2020
Computer programmers,computer-programmers,computer-and-mathematical-occupations,388,"1,653",307,"1,673",82,"1,529",2020
Software developers,software-developers,computer-and-mathematical-occupations,"1,742","1,920","1,420","2,004",322,"1,728",2020
Software quality assurance analysts and testers,software-quality-assurance-analysts-and-testers,computer-and-mathematical-occupations,94,"1,697",73,"1,977",21,–,2020
Web developers,web-developers,computer-and-mathematical-occupations,78,"1,554",60,"1,551",18,–,2020
Web and digital interface designers,web-and-digital-interface-designers,computer-and-mathematical-occupations,52,"1,158",30,–,22,–,2020
Computer support specialists,computer-support-specialists,computer-and-mathematical-occupations,584,"1,147",427,"1,163",157,"1,095",2020
Database administrators and architects,database-administrators-and-architects,computer-and-mathematical-occupations,107,"1,725",78,"1,718",29,–,2020
Network and computer systems administrators,network-and-computer-systems-administrators,computer-and-mathematical-occupations,235,"1,438",187,"1,461",48,–,2020
Computer network architects,computer-network-architects,computer-and-mathematical-occupations,93,"1,902",83,"1,980",10,–,2020
"Computer occupations, all other",computer-occupations-all-other,computer-and-mathematical-occupations,716,"1,394",517,"1,456",199,"1,161",2020
Actuaries,actuaries,computer-and-mathematical-occupations,24,–,15,–,9,–,2020
Mathematicians,mathematicians,computer-and-mathematical-occupations,2,–,2,–,1,–,2020
Operations research analysts,operations-research-analysts,computer-and-mathematical-occupations,154,"1,615",81,"1,786",73,"1,460",2020
Statisticians,statisticians,computer-and-mathematical-occupations,53,"1,572",24,–,30,–,2020
Other mathematical science occupations,other-mathematical-science-occupations,computer-and-mathematical-occupations,68,"1,416",38,–,30,–,2020
Architecture and engineering occupations,architecture-and-engineering-occupations,professional-and-related-occupations,"2,933","1,575","2,466","1,626",467,"1,382",2020
"Architects, except landscape and naval",architects-except-landscape-and-naval,architecture-and-engineering-occupations,136,"1,537",101,"1,549",34,–,2020
Landscape architects,landscape-architects,architecture-and-engineering-occupations,15,–,11,–,5,–,2020
"Surveyors, cartographers, and photogrammetrists",surveyors-cartographers-and-photogrammetrists,architecture-and-engineering-occupations,38,–,36,–,3,–,2020
Aerospace engineers,aerospace-engineers,architecture-and-engineering-occupations,121,"1,939",107,"1,993",14,–,2020
Agricultural engineers,agricultural-engineers,architecture-and-engineering-occupations,6,–,6,–,0,–,2020
Bioengineers and biomedical engineers,bioengineers-and-biomedical-engineers,architecture-and-engineering-occupations,22,–,12,–,10,–,2020
Chemical engineers,chemical-engineers,architecture-and-engineering-occupations,70,"1,862",55,"1,900",14,–,2020
Civil engineers,civil-engineers,architecture-and-engineering-occupations,370,"1,611",317,"1,629",54,"1,588",2020
Computer hardware engineers,computer-hardware-engineers,architecture-and-engineering-occupations,84,"1,889",66,"1,884",18,–,2020
Electrical and electronics engineers,electrical-and-electronics-engineers,architecture-and-engineering-occupations,243,"1,864",213,"1,866",30,–,2020
Environmental engineers,environmental-engineers,architecture-and-engineering-occupations,26,–,15,–,11,–,2020
"Industrial engineers, including health and safety",industrial-engineers-including-health-and-safety,architecture-and-engineering-occupations,225,"1,584",179,"1,595",46,–,2020
Marine engineers and naval architects,marine-engineers-and-naval-architects,architecture-and-engineering-occupations,18,–,18,–,0,–,2020
Materials engineers,materials-engineers,architecture-and-engineering-occupations,52,"1,586",42,–,10,–,2020
Mechanical engineers,mechanical-engineers,architecture-and-engineering-occupations,348,"1,713",317,"1,736",31,–,2020
"Mining and geological engineers, including mining safety engineers",mining-and-geological-engineers-including-mining-safety-engineers,architecture-and-engineering-occupations,15,–,13,–,2,–,2020
Nuclear engineers,nuclear-engineers,architecture-and-engineering-occupations,9,–,7,–,1,–,2020
Petroleum engineers,petroleum-engineers,architecture-and-engineering-occupations,18,–,16,–,2,–,2020
"Engineers, all other",engineers-all-other,architecture-and-engineering-occupations,543,"1,746",460,"1,759",83,"1,463",2020
Architectural and civil drafters,architectural-and-civil-drafters,architecture-and-engineering-occupations,34,–,25,–,9,–,2020
Other drafters,other-drafters,architecture-and-engineering-occupations,77,"1,126",60,"1,137",16,–,2020
Electrical and electronic engineering technologists and technicians,electrical-and-electronic-engineering-technologists-and-technicians,architecture-and-engineering-occupations,81,"1,172",78,"1,198",3,–,2020
"Other engineering technologists and technicians, except drafters",other-engineering-technologists-and-technicians-except-drafters,architecture-and-engineering-occupations,340,"1,119",275,"1,186",65,900,2020
Surveying and mapping technicians,surveying-and-mapping-technicians,architecture-and-engineering-occupations,43,–,38,–,6,–,2020
"Life, physical, and social science occupations",life-physical-and-social-science-occupations,professional-and-related-occupations,"1,401","1,336",735,"1,450",666,"1,202",2020
Agricultural and food scientists,agricultural-and-food-scientists,life-physical-and-social-science-occupations,26,–,15,–,11,–,2020
Biological scientists,biological-scientists,life-physical-and-social-science-occupations,72,"1,141",37,–,35,–,2020
Conservation scientists and foresters,conservation-scientists-and-foresters,life-physical-and-social-science-occupations,11,–,8,–,3,–,2020
Medical scientists,medical-scientists,life-physical-and-social-science-occupations,114,"1,612",53,"2,103",60,"1,372",2020
"Life scientists, all other",life-scientists-all-other,life-physical-and-social-science-occupations,7,–,4,–,3,–,2020
Astronomers and physicists,astronomers-and-physicists,life-physical-and-social-science-occupations,19,–,10,–,9,–,2020
Atmospheric and space scientists,atmospheric-and-space-scientists,life-physical-and-social-science-occupations,9,–,5,–,4,–,2020
Chemists and materials scientists,chemists-and-materials-scientists,life-physical-and-social-science-occupations,83,"1,362",50,"1,435",34,–,2020
"Environmental scientists and specialists, including health",environmental-scientists-and-specialists-including-health,life-physical-and-social-science-occupations,39,–,19,–,20,–,2020
"Geoscientists and hydrologists, except geographers",geoscientists-and-hydrologists-except-geographers,life-physical-and-social-science-occupations,43,–,34,–,8,–,2020
"Physical scientists, all other",physical-scientists-all-other,life-physical-and-social-science-occupations,324,"1,438",175,"1,728",149,"1,325",2020
Economists,economists,life-physical-and-social-science-occupations,26,–,15,–,11,–,2020
Survey researchers,survey-researchers,life-physical-and-social-science-occupations,5,–,1,–,3,–,2020
Clinical and counseling psychologists,clinical-and-counseling-psychologists,life-physical-and-social-science-occupations,8,–,3,–,5,–,2020
School psychologists,school-psychologists,life-physical-and-social-science-occupations,34,–,5,–,29,–,2020
Other psychologists,other-psychologists,life-physical-and-social-science-occupations,63,"1,435",13,–,50,"1,302",2020
Sociologists,sociologists,life-physical-and-social-science-occupations,3,–,1,–,2,–,2020
Urban and regional planners,urban-and-regional-planners,life-physical-and-social-science-occupations,47,–,29,–,19,–,2020
Miscellaneous social scientists and related workers,miscellaneous-social-scientists-and-related-workers,life-physical-and-social-science-occupations,39,–,24,–,15,–,2020
Agricultural and food science technicians,agricultural-and-food-science-technicians,life-physical-and-social-science-occupations,38,–,24,–,15,–,2020
Biological technicians,biological-technicians,life-physical-and-social-science-occupations,22,–,7,–,15,–,2020
Chemical technicians,chemical-technicians,life-physical-and-social-science-occupations,64,"1,039",39,–,25,–,2020
Environmental science and geoscience technicians,environmental-science-and-geoscience-technicians,life-physical-and-social-science-occupations,18,–,13,–,6,–,2020
Nuclear technicians,nuclear-technicians,life-physical-and-social-science-occupations,6,–,6,–,0,–,2020
Social science research assistants,social-science-research-assistants,life-physical-and-social-science-occupations,3,–,2,–,1,–,2020
"Other life, physical, and social science technicians",other-life-physical-and-social-science-technicians,life-physical-and-social-science-occupations,202,"1,074",90,"1,116",111,"1,047",2020
Occupational health and safety specialists and technicians,occupational-health-and-safety-specialists-and-technicians,life-physical-and-social-science-occupations,77,"1,444",53,"1,423",24,–,2020
Community and social service occupations,community-and-social-service-occupations,professional-and-related-occupations,"2,187","1,003",703,"1,103","1,484",976,2020
Substance abuse and behavioral disorder counselors,substance-abuse-and-behavioral-disorder-counselors,community-and-social-service-occupations,99,950,17,–,82,966,2020
"Educational, guidance, and career counselors and advisors",educational-guidance-and-career-counselors-and-advisors,community-and-social-service-occupations,294,"1,080",72,"1,133",222,"1,061",2020
Marriage and family therapists,marriage-and-family-therapists,community-and-social-service-occupations,22,–,3,–,19,–,2020
Mental health counselors,mental-health-counselors,community-and-social-service-occupations,86,"1,066",21,–,65,"1,089",2020
Rehabilitation counselors,rehabilitation-counselors,community-and-social-service-occupations,24,–,11,–,13,–,2020
"Counselors, all other",counselors-all-other,community-and-social-service-occupations,132,956,47,–,85,947,2020
"Child, family, and school social workers",child-family-and-school-social-workers,community-and-social-service-occupations,58,894,7,–,51,894,2020
Healthcare social workers,healthcare-social-workers,community-and-social-service-occupations,70,"1,152",9,–,61,"1,139",2020
Mental health and substance abuse social workers,mental-health-and-substance-abuse-social-workers,community-and-social-service-occupations,19,–,2,–,17,–,2020
"Social workers, all other",social-workers-all-other,community-and-social-service-occupations,593,985,84,"1,170",509,972,2020
Probation officers and correctional treatment specialists,probation-officers-and-correctional-treatment-specialists,community-and-social-service-occupations,111,"1,058",53,"1,203",58,977,2020
Social and human service assistants,social-and-human-service-assistants,community-and-social-service-occupations,168,841,35,–,133,803,2020
Other community and social service specialists,other-community-and-social-service-specialists,community-and-social-service-occupations,83,"1,034",22,–,62,"1,045",2020
Clergy,clergy,community-and-social-service-occupations,353,"1,055",292,"1,131",61,858,2020
"Directors, religious activities and education",directors-religious-activities-and-education,community-and-social-service-occupations,36,–,14,–,22,–,2020
"Religious workers, all other",religious-workers-all-other,community-and-social-service-occupations,38,–,14,–,24,–,2020
Legal occupations,legal-occupations,professional-and-related-occupations,"1,410","1,540",599,"2,275",812,"1,252",2020
Lawyers,lawyers,legal-occupations,821,"2,097",470,"2,324",351,"1,665",2020
Judicial law clerks,judicial-law-clerks,legal-occupations,15,–,4,–,11,–,2020
"Judges, magistrates, and other judicial workers",judges-magistrates-and-other-judicial-workers,legal-occupations,60,"1,856",26,–,34,–,2020
Paralegals and legal assistants,paralegals-and-legal-assistants,legal-occupations,343,942,48,–,295,918,2020
"Title examiners, abstractors, and searchers",title-examiners-abstractors-and-searchers,legal-occupations,101,"1,136",25,–,76,989,2020
"Legal support workers, all other",legal-support-workers-all-other,legal-occupations,71,"1,042",25,–,46,–,2020
"Education, training, and library occupations",education-training-and-library-occupations,professional-and-related-occupations,"7,012","1,096","1,870","1,327","5,142","1,026",2020
Postsecondary teachers,postsecondary-teachers,education-training-and-library-occupations,891,"1,516",443,"1,633",448,"1,384",2020
Preschool and kindergarten teachers,preschool-and-kindergarten-teachers,education-training-and-library-occupations,412,721,2,–,411,721,2020
Elementary and middle school teachers,elementary-and-middle-school-teachers,education-training-and-library-occupations,"3,064","1,118",634,"1,258","2,430","1,085",2020
Secondary school teachers,secondary-school-teachers,education-training-and-library-occupations,914,"1,199",383,"1,319",530,"1,149",2020
Special education teachers,special-education-teachers,education-training-and-library-occupations,301,"1,044",58,"1,102",244,"1,036",2020
Tutors,tutors,education-training-and-library-occupations,42,–,11,–,31,–,2020
Other teachers and instructors,other-teachers-and-instructors,education-training-and-library-occupations,376,"1,061",145,"1,314",231,942,2020
"Archivists, curators, and museum technicians",archivists-curators-and-museum-technicians,education-training-and-library-occupations,46,–,19,–,27,–,2020
Librarians and media collections specialists,librarians-and-media-collections-specialists,education-training-and-library-occupations,120,"1,073",19,–,100,"1,127",2020
Library technicians,library-technicians,education-training-and-library-occupations,17,–,2,–,14,–,2020
Teaching assistants,teaching-assistants,education-training-and-library-occupations,714,617,123,732,591,604,2020
Other educational instruction and library workers,other-educational-instruction-and-library-workers,education-training-and-library-occupations,116,"1,145",31,–,85,"1,108",2020
"Arts, design, entertainment, sports, and media occupations",arts-design-entertainment-sports-and-media-occupations,professional-and-related-occupations,"1,681","1,179",877,"1,252",804,"1,128",2020
Artists and related workers,artists-and-related-workers,arts-design-entertainment-sports-and-media-occupations,87,"1,116",59,"1,152",28,–,2020
Commercial and industrial designers,commercial-and-industrial-designers,arts-design-entertainment-sports-and-media-occupations,6,–,3,–,3,–,2020
Fashion designers,fashion-designers,arts-design-entertainment-sports-and-media-occupations,24,–,7,–,16,–,2020
Floral designers,floral-designers,arts-design-entertainment-sports-and-media-occupations,38,–,11,–,27,–,2020
Graphic designers,graphic-designers,arts-design-entertainment-sports-and-media-occupations,209,"1,230",91,"1,395",119,"1,140",2020
Interior designers,interior-designers,arts-design-entertainment-sports-and-media-occupations,74,"1,107",19,–,55,"1,021",2020
Merchandise displayers and window trimmers,merchandise-displayers-and-window-trimmers,arts-design-entertainment-sports-and-media-occupations,22,–,10,–,12,–,2020
Other designers,other-designers,arts-design-entertainment-sports-and-media-occupations,271,"1,210",170,"1,234",101,"1,107",2020
Actors,actors,arts-design-entertainment-sports-and-media-occupations,10,–,6,–,5,–,2020
Producers and directors,producers-and-directors,arts-design-entertainment-sports-and-media-occupations,123,"1,499",63,"1,458",60,"1,548",2020
Athletes and sports competitors,athletes-and-sports-competitors,arts-design-entertainment-sports-and-media-occupations,21,–,19,–,2,–,2020
Coaches and scouts,coaches-and-scouts,arts-design-entertainment-sports-and-media-occupations,90,931,54,946,36,–,2020
"Umpires, referees, and other sports officials",umpires-referees-and-other-sports-officials,arts-design-entertainment-sports-and-media-occupations,9,–,9,–,1,–,2020
Dancers and choreographers,dancers-and-choreographers,arts-design-entertainment-sports-and-media-occupations,4,–,0,–,4,–,2020
Music directors and composers,music-directors-and-composers,arts-design-entertainment-sports-and-media-occupations,16,–,13,–,3,–,2020
Musicians and singers,musicians-and-singers,arts-design-entertainment-sports-and-media-occupations,12,–,10,–,2,–,2020
"Disc jockeys, except radio",disc-jockeys-except-radio,arts-design-entertainment-sports-and-media-occupations,1,–,1,–,0,–,2020
"Entertainers and performers, sports and related workers, all other",entertainers-and-performers-sports-and-related-workers-all-other,arts-design-entertainment-sports-and-media-occupations,7,–,5,–,3,–,2020
Broadcast announcers and radio disc jockeys,broadcast-announcers-and-radio-disc-jockeys,arts-design-entertainment-sports-and-media-occupations,18,–,16,–,2,–,2020
"News analysts, reporters, and journalists",news-analysts-reporters-and-journalists,arts-design-entertainment-sports-and-media-occupations,62,"1,044",29,–,34,–,2020
Public relations specialists,public-relations-specialists,arts-design-entertainment-sports-and-media-occupations,128,"1,553",48,–,80,"1,452",2020
Editors,editors,arts-design-entertainment-sports-and-media-occupations,57,"1,237",28,–,29,–,2020
Technical writers,technical-writers,arts-design-entertainment-sports-and-media-occupations,53,"1,347",28,–,26,–,2020
Writers and authors,writers-and-authors,arts-design-entertainment-sports-and-media-occupations,98,"1,257",35,–,64,"1,127",2020
Interpreters and translators,interpreters-and-translators,arts-design-entertainment-sports-and-media-occupations,44,–,18,–,25,–,2020
Court reporters and simultaneous captioners,court-reporters-and-simultaneous-captioners,arts-design-entertainment-sports-and-media-occupations,21,–,3,–,18,–,2020
"Media and communication workers, all other",media-and-communication-workers-all-other,arts-design-entertainment-sports-and-media-occupations,14,–,8,–,6,–,2020
"Broadcast, sound, and lighting technicians",broadcast-sound-and-lighting-technicians,arts-design-entertainment-sports-and-media-occupations,53,"1,001",47,–,6,–,2020
Photographers,photographers,arts-design-entertainment-sports-and-media-occupations,66,990,36,–,30,–,2020
