Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
Veterinary technologists and technicians,veterinary-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,99,829,11,-,88,817,2023
Dietetic technicians and ophthalmic medical technicians,dietetic-technicians-and-ophthalmic-medical-technicians,healthcare-practitioners-and-technical-occupations,46,-,14,-,32,-,2023
Licensed practical and licensed vocational nurses,licensed-practical-and-licensed-vocational-nurses,healthcare-practitioners-and-technical-occupations,479,988,59,"1,018",420,984,2023
Medical records specialists,medical-records-specialists,healthcare-practitioners-and-technical-occupations,184,918,22,-,162,946,2023
"Opticians, dispensing",opticians-dispensing,healthcare-practitioners-and-technical-occupations,37,-,7,-,30,-,2023
Miscellaneous health technologists and technicians,miscellaneous-health-technologists-and-technicians,healthcare-practitioners-and-technical-occupations,119,"1,035",25,-,94,"1,014",2023
Other healthcare practitioners and technical occupations,other-healthcare-practitioners-and-technical-occupations,healthcare-practitioners-and-technical-occupations,80,"1,372",30,-,51,"1,203",2023
Service occupations,service-occupations,,"15,818",721,"7,672",801,"8,146",676,2023
Healthcare support occupations,healthcare-support-occupations,service-occupations,"3,467",713,578,794,"2,890",704,2023
Home health aides,home-health-aides,healthcare-support-occupations,330,644,59,709,271,625,2023
Personal care aides,personal-care-aides,healthcare-support-occupations,903,679,190,751,713,668,2023
Nursing assistants,nursing-assistants,healthcare-support-occupations,899,700,95,765,804,695,2023
Orderlies and psychiatric aides,orderlies-and-psychiatric-aides,healthcare-support-occupations,48,-,19,-,29,-,2023
Occupational therapy assistants and aides,occupational-therapy-assistants-and-aides,healthcare-support-occupations,22,-,6,-,16,-,2023
Physical therapist assistants and aides,physical-therapist-assistants-and-aides,healthcare-support-occupations,75,909,30,-,44,-,2023
Massage therapists,massage-therapists,healthcare-support-occupations,34,-,11,-,23,-,2023
Dental assistants,dental-assistants,healthcare-support-occupations,235,754,13,-,222,758,2023
Medical assistants,medical-assistants,healthcare-support-occupations,490,752,52,904,438,738,2023
Medical transcriptionists,medical-transcriptionists,healthcare-support-occupations,25,-,4,-,20,-,2023
Pharmacy aides,pharmacy-aides,healthcare-support-occupations,20,-,6,-,13,-,2023
Veterinary assistants and laboratory animal caretakers,veterinary-assistants-and-laboratory-animal-caretakers,healthcare-support-occupations,67,720,14,-,53,701,2023
Phlebotomists,phlebotomists,healthcare-support-occupations,133,730,14,-,119,723,2023
Other healthcare support workers,other-healthcare-support-workers,healthcare-support-occupations,187,833,64,919,124,790,2023
Protective service occupations,protective-service-occupations,service-occupations,"2,706","1,113","2,140","1,190",566,884,2023
First-line supervisors of correctional officers,first-line-supervisors-of-correctional-officers,protective-service-occupations,59,"1,432",39,-,20,-,2023
First-line supervisors of police and detectives,first-line-supervisors-of-police-and-detectives,protective-service-occupations,93,"1,800",83,"1,812",10,-,2023
First-line supervisors of firefighting and prevention workers,first-line-supervisors-of-firefighting-and-prevention-workers,protective-service-occupations,47,-,45,-,3,-,2023
First-line supervisors of security workers,first-line-supervisors-of-security-workers,protective-service-occupations,70,"1,033",55,"1,060",15,-,2023
"First-line supervisors of protective service workers, all other",first-line-supervisors-of-protective-service-workers-all-other,protective-service-occupations,3,-,2,-,1,-,2023
Firefighters,firefighters,protective-service-occupations,297,"1,351",288,"1,357",9,-,2023
Fire inspectors,fire-inspectors,protective-service-occupations,19,-,14,-,5,-,2023
Bailiffs,bailiffs,protective-service-occupations,12,-,6,-,6,-,2023
Correctional officers and jailers,correctional-officers-and-jailers,protective-service-occupations,294,"1,073",203,"1,133",91,914,2023
Detectives and criminal investigators,detectives-and-criminal-investigators,protective-service-occupations,132,"1,732",101,"1,833",31,-,2023
Fish and game wardens,fish-and-game-wardens,protective-service-occupations,5,-,4,-,1,-,2023
Parking enforcement workers,parking-enforcement-workers,protective-service-occupations,7,-,3,-,4,-,2023
Police officers,police-officers,protective-service-occupations,709,"1,320",605,"1,363",104,"1,034",2023
Animal control workers,animal-control-workers,protective-service-occupations,12,-,7,-,5,-,2023
Private detectives and investigators,private-detectives-and-investigators,protective-service-occupations,95,"1,326",57,"1,481",38,-,2023
Security guards and gambling surveillance officers,security-guards-and-gambling-surveillance-officers,protective-service-occupations,730,788,562,811,168,717,2023
Crossing guards and flaggers,crossing-guards-and-flaggers,protective-service-occupations,24,-,11,-,13,-,2023
Transportation security screeners,transportation-security-screeners,protective-service-occupations,45,-,25,-,21,-,2023
School bus monitors,school-bus-monitors,protective-service-occupations,9,-,0,-,9,-,2023
Other protective service workers,other-protective-service-workers,protective-service-occupations,44,-,32,-,11,-,2023
Food preparation and serving related occupations,food-preparation-and-serving-related-occupations,service-occupations,"4,325",660,"2,289",700,"2,036",618,2023
Chefs and head cooks,chefs-and-head-cooks,food-preparation-and-serving-related-occupations,391,816,304,854,87,690,2023
First-line supervisors of food preparation and serving workers,first-line-supervisors-of-food-preparation-and-serving-workers,food-preparation-and-serving-related-occupations,432,728,215,819,217,677,2023
Cooks,cooks,food-preparation-and-serving-related-occupations,"1,259",655,813,682,446,608,2023
Food preparation workers,food-preparation-workers,food-preparation-and-serving-related-occupations,484,619,220,645,264,600,2023
Bartenders,bartenders,food-preparation-and-serving-related-occupations,208,764,129,768,78,745,2023
Fast food and counter workers,fast-food-and-counter-workers,food-preparation-and-serving-related-occupations,288,610,109,639,179,595,2023
Waiters and waitresses,waiters-and-waitresses,food-preparation-and-serving-related-occupations,828,642,281,684,547,617,2023
"Food servers, nonrestaurant",food-servers-nonrestaurant,food-preparation-and-serving-related-occupations,91,623,32,-,59,642,2023
Dining room and cafeteria attendants and bartender helpers,dining-room-and-cafeteria-attendants-and-bartender-helpers,food-preparation-and-serving-related-occupations,132,593,62,607,69,588,2023
Dishwashers,dishwashers,food-preparation-and-serving-related-occupations,133,598,106,601,27,-,2023
"Hosts and hostesses, restaurant, lounge, and coffee shop",hosts-and-hostesses-restaurant-lounge-and-coffee-shop,food-preparation-and-serving-related-occupations,73,594,11,-,62,596,2023
"Food preparation and serving related workers, all other",food-preparation-and-serving-related-workers-all-other,food-preparation-and-serving-related-occupations,7,-,6,-,1,-,2023
Building and grounds cleaning and maintenance occupations,building-and-grounds-cleaning-and-maintenance-occupations,service-occupations,"3,520",692,"2,161",749,"1,359",621,2023
First-line supervisors of housekeeping and janitorial workers,first-line-supervisors-of-housekeeping-and-janitorial-workers,building-and-grounds-cleaning-and-maintenance-occupations,177,896,100,"1,050",77,699,2023
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",first-line-supervisors-of-landscaping-lawn-service-and-groundskeeping-workers,building-and-grounds-cleaning-and-maintenance-occupations,93,928,85,938,8,-,2023
Janitors and building cleaners,janitors-and-building-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,"1,505",696,999,745,505,626,2023
Maids and housekeeping cleaners,maids-and-housekeeping-cleaners,building-and-grounds-cleaning-and-maintenance-occupations,834,619,113,686,721,611,2023
Pest control workers,pest-control-workers,building-and-grounds-cleaning-and-maintenance-occupations,90,848,83,858,7,-,2023
Landscaping and groundskeeping workers,landscaping-and-groundskeeping-workers,building-and-grounds-cleaning-and-maintenance-occupations,713,703,673,709,40,-,2023
Tree trimmers and pruners,tree-trimmers-and-pruners,building-and-grounds-cleaning-and-maintenance-occupations,92,775,91,775,1,-,2023
Other grounds maintenance workers,other-grounds-maintenance-workers,building-and-grounds-cleaning-and-maintenance-occupations,18,-,18,-,0,-,2023
Personal care and service occupations,personal-care-and-service-occupations,service-occupations,"1,799",725,505,779,"1,294",706,2023
Supervisors of personal care and service workers,supervisors-of-personal-care-and-service-workers,personal-care-and-service-occupations,97,855,43,-,54,793,2023
Animal trainers,animal-trainers,personal-care-and-service-occupations,31,-,13,-,18,-,2023
Animal caretakers,animal-caretakers,personal-care-and-service-occupations,161,704,38,-,122,687,2023
Gambling services workers,gambling-services-workers,personal-care-and-service-occupations,66,893,37,-,29,-,2023
"Ushers, lobby attendants, and ticket takers",ushers-lobby-attendants-and-ticket-takers,personal-care-and-service-occupations,7,-,3,-,4,-,2023
Other entertainment attendants and related workers,other-entertainment-attendants-and-related-workers,personal-care-and-service-occupations,87,707,39,-,48,-,2023
"Embalmers, crematory operators, and funeral attendants",embalmers-crematory-operators-and-funeral-attendants,personal-care-and-service-occupations,13,-,10,-,3,-,2023
"Morticians, undertakers, and funeral arrangers",morticians-undertakers-and-funeral-arrangers,personal-care-and-service-occupations,28,-,17,-,11,-,2023
Barbers,barbers,personal-care-and-service-occupations,69,655,45,-,24,-,2023
"Hairdressers, hairstylists, and cosmetologists",hairdressers-hairstylists-and-cosmetologists,personal-care-and-service-occupations,239,740,18,-,222,726,2023
Manicurists and pedicurists,manicurists-and-pedicurists,personal-care-and-service-occupations,197,772,35,-,162,748,2023
Skincare specialists,skincare-specialists,personal-care-and-service-occupations,46,-,0,-,46,-,2023
Other personal appearance workers,other-personal-appearance-workers,personal-care-and-service-occupations,11,-,0,-,11,-,2023
"Baggage porters, bellhops, and concierges",baggage-porters-bellhops-and-concierges,personal-care-and-service-occupations,67,676,51,680,15,-,2023
Tour and travel guides,tour-and-travel-guides,personal-care-and-service-occupations,14,-,8,-,6,-,2023
Childcare workers,childcare-workers,personal-care-and-service-occupations,379,635,22,-,356,632,2023
Exercise trainers and group fitness instructors,exercise-trainers-and-group-fitness-instructors,personal-care-and-service-occupations,71,956,40,-,31,-,2023
Recreation workers,recreation-workers,personal-care-and-service-occupations,129,776,56,801,74,716,2023
Residential advisors,residential-advisors,personal-care-and-service-occupations,17,-,5,-,12,-,2023
"Personal care and service workers, all other",personal-care-and-service-workers-all-other,personal-care-and-service-occupations,68,761,23,-,45,-,2023
Sales and office occupations,sales-and-office-occupations,,"21,667",923,"8,876","1,072","12,791",856,2023
Sales and related occupations,sales-and-related-occupations,sales-and-office-occupations,"9,148","1,001","5,099","1,196","4,049",830,2023
First-line supervisors of retail sales workers,first-line-supervisors-of-retail-sales-workers,sales-and-related-occupations,"2,234",995,"1,274","1,094",960,904,2023
First-line supervisors of non-retail sales workers,first-line-supervisors-of-non-retail-sales-workers,sales-and-related-occupations,906,"1,345",538,"1,464",367,"1,151",2023
Cashiers,cashiers,sales-and-related-occupations,"1,147",606,346,616,801,602,2023
Counter and rental clerks,counter-and-rental-clerks,sales-and-related-occupations,64,801,46,-,18,-,2023
Parts salespersons,parts-salespersons,sales-and-related-occupations,89,769,65,796,25,-,2023
Retail salespersons,retail-salespersons,sales-and-related-occupations,"1,585",829,963,988,622,710,2023
Advertising sales agents,advertising-sales-agents,sales-and-related-occupations,101,"1,442",51,"1,728",50,"1,398",2023
Insurance sales agents,insurance-sales-agents,sales-and-related-occupations,443,"1,081",183,"1,310",260,927,2023
"Securities, commodities, and financial services sales agents",securities-commodities-and-financial-services-sales-agents,sales-and-related-occupations,184,"2,320",129,"2,412",55,"1,654",2023
Travel agents,travel-agents,sales-and-related-occupations,48,-,8,-,40,-,2023
"Sales representatives of services, except advertising, insurance, financial services, and travel",sales-representatives-of-services-except-advertising-insurance-financial-services-and-travel,sales-and-related-occupations,577,"1,365",399,"1,451",178,"1,137",2023
"Sales representatives, wholesale and manufacturing",sales-representatives-wholesale-and-manufacturing,sales-and-related-occupations,999,"1,427",731,"1,535",268,"1,215",2023
"Models, demonstrators, and product promoters",models-demonstrators-and-product-promoters,sales-and-related-occupations,10,-,3,-,6,-,2023
Real estate brokers and sales agents,real-estate-brokers-and-sales-agents,sales-and-related-occupations,440,"1,363",188,"1,444",252,"1,215",2023
Sales engineers,sales-engineers,sales-and-related-occupations,51,"1,918",51,"1,918",0,-,2023
Telemarketers,telemarketers,sales-and-related-occupations,28,-,4,-,24,-,2023
"Door-to-door sales workers, news and street vendors, and related workers",door-to-door-sales-workers-news-and-street-vendors-and-related-workers,sales-and-related-occupations,29,-,16,-,14,-,2023
"Sales and related workers, all other",sales-and-related-workers-all-other,sales-and-related-occupations,213,914,105,"1,019",108,807,2023
Office and administrative support occupations,office-and-administrative-support-occupations,sales-and-office-occupations,"12,519",891,"3,777",983,"8,743",864,2023
First-line supervisors of office and administrative support workers,first-line-supervisors-of-office-and-administrative-support-workers,office-and-administrative-support-occupations,"1,038","1,114",351,"1,209",687,"1,075",2023
"Switchboard operators, including answering service",switchboard-operators-including-answering-service,office-and-administrative-support-occupations,19,-,6,-,14,-,2023
Telephone operators,telephone-operators,office-and-administrative-support-occupations,11,-,5,-,6,-,2023
"Communications equipment operators, all other",communications-equipment-operators-all-other,office-and-administrative-support-occupations,1,-,1,-,0,-,2023
Bill and account collectors,bill-and-account-collectors,office-and-administrative-support-occupations,84,809,25,-,59,778,2023
Billing and posting clerks,billing-and-posting-clerks,office-and-administrative-support-occupations,391,826,31,-,360,819,2023
"Bookkeeping, accounting, and auditing clerks",bookkeeping-accounting-and-auditing-clerks,office-and-administrative-support-occupations,869,943,130,"1,100",738,922,2023
Gambling cage workers,gambling-cage-workers,office-and-administrative-support-occupations,22,-,11,-,11,-,2023
Payroll and timekeeping clerks,payroll-and-timekeeping-clerks,office-and-administrative-support-occupations,119,"1,040",16,-,103,"1,037",2023
Procurement clerks,procurement-clerks,office-and-administrative-support-occupations,41,-,25,-,16,-,2023
Tellers,tellers,office-and-administrative-support-occupations,163,721,44,-,119,711,2023
"Financial clerks, all other",financial-clerks-all-other,office-and-administrative-support-occupations,121,"1,078",57,"1,335",65,"1,009",2023
Brokerage clerks,brokerage-clerks,office-and-administrative-support-occupations,6,-,4,-,2,-,2023
Correspondence clerks,correspondence-clerks,office-and-administrative-support-occupations,3,-,0,-,3,-,2023
"Court, municipal, and license clerks",court-municipal-and-license-clerks,office-and-administrative-support-occupations,84,928,26,-,58,821,2023
"Credit authorizers, checkers, and clerks",credit-authorizers-checkers-and-clerks,office-and-administrative-support-occupations,25,-,8,-,17,-,2023
Customer service representatives,customer-service-representatives,office-and-administrative-support-occupations,"2,157",828,731,918,"1,426",799,2023
"Eligibility interviewers, government programs",eligibility-interviewers-government-programs,office-and-administrative-support-occupations,96,960,15,-,81,951,2023
File Clerks,file-clerks,office-and-administrative-support-occupations,86,898,26,-,61,882,2023
"Hotel, motel, and resort desk clerks",hotel-motel-and-resort-desk-clerks,office-and-administrative-support-occupations,87,741,39,-,48,-,2023
"Interviewers, except eligibility and loan",interviewers-except-eligibility-and-loan,office-and-administrative-support-occupations,166,789,33,-,133,797,2023
"Library assistants, clerical",library-assistants-clerical,office-and-administrative-support-occupations,33,-,5,-,27,-,2023
Loan interviewers and clerks,loan-interviewers-and-clerks,office-and-administrative-support-occupations,128,931,32,-,96,887,2023
New accounts clerks,new-accounts-clerks,office-and-administrative-support-occupations,17,-,8,-,9,-,2023
Order clerks,order-clerks,office-and-administrative-support-occupations,66,734,30,-,36,-,2023
"Human resources assistants, except payroll and timekeeping",human-resources-assistants-except-payroll-and-timekeeping,office-and-administrative-support-occupations,71,988,7,-,64,982,2023
Receptionists and information clerks,receptionists-and-information-clerks,office-and-administrative-support-occupations,827,752,112,770,715,749,2023
Reservation and transportation ticket agents and travel clerks,reservation-and-transportation-ticket-agents-and-travel-clerks,office-and-administrative-support-occupations,113,900,64,987,49,-,2023
"Information and record clerks, all other",information-and-record-clerks-all-other,office-and-administrative-support-occupations,71,858,14,-,57,802,2023
Cargo and freight agents,cargo-and-freight-agents,office-and-administrative-support-occupations,25,-,13,-,12,-,2023
Couriers and messengers,couriers-and-messengers,office-and-administrative-support-occupations,547,853,435,885,112,711,2023
Public safety telecommunicators,public-safety-telecommunicators,office-and-administrative-support-occupations,67,"1,013",11,-,55,964,2023
"Dispatchers, except police, fire, and ambulance",dispatchers-except-police-fire-and-ambulance,office-and-administrative-support-occupations,156,898,65,"1,128",91,852,2023
"Meter readers, utilities",meter-readers-utilities,office-and-administrative-support-occupations,20,-,19,-,0,-,2023
Postal service clerks,postal-service-clerks,office-and-administrative-support-occupations,95,894,46,-,49,-,2023
Postal service mail carriers,postal-service-mail-carriers,office-and-administrative-support-occupations,279,"1,130",182,"1,194",97,"1,015",2023
"Postal service mail sorters, processors, and processing machine operators",postal-service-mail-sorters-processors-and-processing-machine-operators,office-and-administrative-support-occupations,58,904,26,-,31,-,2023
"Production, planning, and expediting clerks",production-planning-and-expediting-clerks,office-and-administrative-support-occupations,198,"1,334",109,"1,335",89,"1,333",2023
"Shipping, receiving, and inventory clerks",shipping-receiving-and-inventory-clerks,office-and-administrative-support-occupations,555,811,356,827,199,789,2023
"Weighers, measurers, checkers, and samplers, recordkeeping",weighers-measurers-checkers-and-samplers-recordkeeping,office-and-administrative-support-occupations,59,843,36,-,23,-,2023
Executive secretaries and executive administrative assistants,executive-secretaries-and-executive-administrative-assistants,office-and-administrative-support-occupations,179,"1,272",16,-,163,"1,272",2023
Legal secretaries and administrative assistants,legal-secretaries-and-administrative-assistants,office-and-administrative-support-occupations,40,-,3,-,37,-,2023
Medical secretaries and administrative assistants,medical-secretaries-and-administrative-assistants,office-and-administrative-support-occupations,80,909,6,-,74,914,2023
"Secretaries and administrative assistants, except legal, medical, and executive",secretaries-and-administrative-assistants-except-legal-medical-and-executive,office-and-administrative-support-occupations,"1,387",894,130,"1,101","1,257",882,2023
Data entry keyers,data-entry-keyers,office-and-administrative-support-occupations,185,814,59,819,126,809,2023
Word processors and typists,word-processors-and-typists,office-and-administrative-support-occupations,33,-,3,-,31,-,2023
Desktop publishers,desktop-publishers,office-and-administrative-support-occupations,1,-,0,-,1,-,2023
Insurance claims and policy processing clerks,insurance-claims-and-policy-processing-clerks,office-and-administrative-support-occupations,265,912,59,"1,062",206,896,2023
"Mail clerks and mail machine operators, except postal service",mail-clerks-and-mail-machine-operators-except-postal-service,office-and-administrative-support-occupations,37,-,20,-,17,-,2023
"Office clerks, general",office-clerks-general,office-and-administrative-support-occupations,926,828,176,867,750,824,2023
"Office machine operators, except computer",office-machine-operators-except-computer,office-and-administrative-support-occupations,15,-,5,-,10,-,2023
Proofreaders and copy markers,proofreaders-and-copy-markers,office-and-administrative-support-occupations,4,-,1,-,4,-,2023
Statistical assistants,statistical-assistants,office-and-administrative-support-occupations,14,-,11,-,3,-,2023
"Office and administrative support workers, all other",office-and-administrative-support-workers-all-other,office-and-administrative-support-occupations,380,"1,007",134,"1,038",246,988,2023
"Natural resources, construction, and maintenance occupations",natural-resources-construction-and-maintenance-occupations,,"11,368","1,001","10,793","1,013",575,734,2023
"Farming, fishing, and forestry occupations",farming-fishing-and-forestry-occupations,natural-resources-construction-and-maintenance-occupations,731,689,548,728,183,614,2023
"First-line supervisors of farming, fishing, and forestry workers",first-line-supervisors-of-farming-fishing-and-forestry-workers,farming-fishing-and-forestry-occupations,59,907,48,-,11,-,2023
Agricultural inspectors,agricultural-inspectors,farming-fishing-and-forestry-occupations,24,-,17,-,7,-,2023
Animal breeders,animal-breeders,farming-fishing-and-forestry-occupations,9,-,9,-,0,-,2023
"Graders and sorters, agricultural products",graders-and-sorters-agricultural-products,farming-fishing-and-forestry-occupations,39,-,13,-,26,-,2023
Miscellaneous agricultural workers,miscellaneous-agricultural-workers,farming-fishing-and-forestry-occupations,542,662,412,704,130,598,2023
Fishing and hunting workers,fishing-and-hunting-workers,farming-fishing-and-forestry-occupations,7,-,7,-,0,-,2023
Forest and conservation workers,forest-and-conservation-workers,farming-fishing-and-forestry-occupations,18,-,9,-,9,-,2023
Logging workers,logging-workers,farming-fishing-and-forestry-occupations,33,-,33,-,0,-,2023
Construction and extraction occupations,construction-and-extraction-occupations,natural-resources-construction-and-maintenance-occupations,"6,517",985,"6,277",991,240,795,2023
First-line supervisors of construction trades and extraction workers,first-line-supervisors-of-construction-trades-and-extraction-workers,construction-and-extraction-occupations,537,"1,373",525,"1,361",13,-,2023
Boilermakers,boilermakers,construction-and-extraction-occupations,14,-,12,-,3,-,2023
"Brickmasons, blockmasons, and stonemasons",brickmasons-blockmasons-and-stonemasons,construction-and-extraction-occupations,76,850,75,856,1,-,2023
Carpenters,carpenters,construction-and-extraction-occupations,942,928,915,927,27,-,2023
"Carpet, floor, and tile installers and finishers",carpet-floor-and-tile-installers-and-finishers,construction-and-extraction-occupations,67,924,61,931,6,-,2023
"Cement masons, concrete finishers, and terrazzo workers",cement-masons-concrete-finishers-and-terrazzo-workers,construction-and-extraction-occupations,48,-,48,-,0,-,2023
Construction laborers,construction-laborers,construction-and-extraction-occupations,"1,572",858,"1,498",870,74,711,2023
Construction equipment operators,construction-equipment-operators,construction-and-extraction-occupations,353,"1,113",351,"1,115",2,-,2023
"Drywall installers, ceiling tile installers, and tapers",drywall-installers-ceiling-tile-installers-and-tapers,construction-and-extraction-occupations,90,812,88,815,2,-,2023
Electricians,electricians,construction-and-extraction-occupations,813,"1,195",793,"1,199",19,-,2023
Glaziers,glaziers,construction-and-extraction-occupations,28,-,25,-,3,-,2023
Insulation workers,insulation-workers,construction-and-extraction-occupations,61,"1,079",57,973,4,-,2023
Painters and paperhangers,painters-and-paperhangers,construction-and-extraction-occupations,389,810,348,821,41,-,2023
Pipelayers,pipelayers,construction-and-extraction-occupations,46,-,46,-,0,-,2023
"Plumbers, pipefitters, and steamfitters",plumbers-pipefitters-and-steamfitters,construction-and-extraction-occupations,546,"1,063",538,"1,070",8,-,2023
Plasterers and stucco masons,plasterers-and-stucco-masons,construction-and-extraction-occupations,22,-,22,-,0,-,2023
Reinforcing iron and rebar workers,reinforcing-iron-and-rebar-workers,construction-and-extraction-occupations,10,-,10,-,0,-,2023
Roofers,roofers,construction-and-extraction-occupations,187,804,179,808,8,-,2023
Sheet metal workers,sheet-metal-workers,construction-and-extraction-occupations,112,"1,096",108,"1,095",4,-,2023
Structural iron and steel workers,structural-iron-and-steel-workers,construction-and-extraction-occupations,37,-,35,-,2,-,2023
Solar photovoltaic installers,solar-photovoltaic-installers,construction-and-extraction-occupations,14,-,14,-,0,-,2023
"Helpers, construction trades",helpers-construction-trades,construction-and-extraction-occupations,49,-,45,-,4,-,2023
Construction and building inspectors,construction-and-building-inspectors,construction-and-extraction-occupations,85,"1,193",78,"1,197",7,-,2023
Elevator and escalator installers and repairers,elevator-and-escalator-installers-and-repairers,construction-and-extraction-occupations,39,-,39,-,0,-,2023
Fence erectors,fence-erectors,construction-and-extraction-occupations,26,-,26,-,0,-,2023
Hazardous materials removal workers,hazardous-materials-removal-workers,construction-and-extraction-occupations,21,-,21,-,0,-,2023
Highway maintenance workers,highway-maintenance-workers,construction-and-extraction-occupations,98,941,98,941,0,-,2023
Rail-track laying and maintenance equipment operators,rail-track-laying-and-maintenance-equipment-operators,construction-and-extraction-occupations,22,-,22,-,0,-,2023
Septic tank servicers and sewer pipe cleaners,septic-tank-servicers-and-sewer-pipe-cleaners,construction-and-extraction-occupations,7,-,5,-,1,-,2023
Miscellaneous construction and related workers,miscellaneous-construction-and-related-workers,construction-and-extraction-occupations,48,-,44,-,4,-,2023
"Derrick, rotary drill, and service unit operators, oil and gas",derrick-rotary-drill-and-service-unit-operators-oil-and-gas,construction-and-extraction-occupations,21,-,21,-,0,-,2023
"Excavating and loading machine and dragline operators, surface mining",excavating-and-loading-machine-and-dragline-operators-surface-mining,construction-and-extraction-occupations,9,-,6,-,3,-,2023
"Earth drillers, except oil and gas",earth-drillers-except-oil-and-gas,construction-and-extraction-occupations,22,-,22,-,0,-,2023
"Explosives workers, ordnance handling experts, and blasters",explosives-workers-ordnance-handling-experts-and-blasters,construction-and-extraction-occupations,7,-,7,-,0,-,2023
Underground mining machine operators,underground-mining-machine-operators,construction-and-extraction-occupations,43,-,42,-,1,-,2023
"Roustabouts, oil and gas",roustabouts-oil-and-gas,construction-and-extraction-occupations,8,-,8,-,0,-,2023
Other extraction workers,other-extraction-workers,construction-and-extraction-occupations,47,-,46,-,1,-,2023
"Installation, maintenance, and repair occupations",installation-maintenance-and-repair-occupations,natural-resources-construction-and-maintenance-occupations,"4,120","1,092","3,968","1,104",152,875,2023
"First-line supervisors of mechanics, installers, and repairers",first-line-supervisors-of-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,227,"1,246",210,"1,246",17,-,2023
"Computer, automated teller, and office machine repairers",computer-automated-teller-and-office-machine-repairers,installation-maintenance-and-repair-occupations,109,"1,042",92,"1,072",17,-,2023
Radio and telecommunications equipment installers and repairers,radio-and-telecommunications-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,92,"1,042",85,"1,052",7,-,2023
Avionics technicians,avionics-technicians,installation-maintenance-and-repair-occupations,10,-,9,-,1,-,2023
"Electric motor, power tool, and related repairers",electric-motor-power-tool-and-related-repairers,installation-maintenance-and-repair-occupations,18,-,18,-,0,-,2023
"Electrical and electronics installers and repairers, transportation equipment",electrical-and-electronics-installers-and-repairers-transportation-equipment,installation-maintenance-and-repair-occupations,0,-,0,-,0,-,2023
"Electrical and electronics repairers, industrial and utility",electrical-and-electronics-repairers-industrial-and-utility,installation-maintenance-and-repair-occupations,8,-,7,-,0,-,2023
"Electronic equipment installers and repairers, motor vehicles",electronic-equipment-installers-and-repairers-motor-vehicles,installation-maintenance-and-repair-occupations,3,-,3,-,0,-,2023
Audiovisual equipment installers and repairers,audiovisual-equipment-installers-and-repairers,installation-maintenance-and-repair-occupations,19,-,17,-,2,-,2023
Security and fire alarm systems installers,security-and-fire-alarm-systems-installers,installation-maintenance-and-repair-occupations,37,-,36,-,1,-,2023
Aircraft mechanics and service technicians,aircraft-mechanics-and-service-technicians,installation-maintenance-and-repair-occupations,115,"1,355",112,"1,370",3,-,2023
Automotive body and related repairers,automotive-body-and-related-repairers,installation-maintenance-and-repair-occupations,105,"1,025",97,"1,049",8,-,2023
Automotive glass installers and repairers,automotive-glass-installers-and-repairers,installation-maintenance-and-repair-occupations,18,-,17,-,1,-,2023
Automotive service technicians and mechanics,automotive-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,741,994,727,"1,001",15,-,2023
Bus and truck mechanics and diesel engine specialists,bus-and-truck-mechanics-and-diesel-engine-specialists,installation-maintenance-and-repair-occupations,281,"1,093",277,"1,095",5,-,2023
Heavy vehicle and mobile equipment service technicians and mechanics,heavy-vehicle-and-mobile-equipment-service-technicians-and-mechanics,installation-maintenance-and-repair-occupations,194,"1,206",191,"1,210",3,-,2023
Small engine mechanics,small-engine-mechanics,installation-maintenance-and-repair-occupations,28,-,27,-,1,-,2023
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",miscellaneous-vehicle-and-mobile-equipment-mechanics-installers-and-repairers,installation-maintenance-and-repair-occupations,56,804,55,810,1,-,2023
Control and valve installers and repairers,control-and-valve-installers-and-repairers,installation-maintenance-and-repair-occupations,19,-,18,-,2,-,2023
"Heating, air conditioning, and refrigeration mechanics and installers",heating-air-conditioning-and-refrigeration-mechanics-and-installers,installation-maintenance-and-repair-occupations,464,"1,126",458,"1,129",5,-,2023
Home appliance repairers,home-appliance-repairers,installation-maintenance-and-repair-occupations,28,-,27,-,1,-,2023
Industrial and refractory machinery mechanics,industrial-and-refractory-machinery-mechanics,installation-maintenance-and-repair-occupations,397,"1,172",383,"1,183",14,-,2023
"Maintenance and repair workers, general",maintenance-and-repair-workers-general,installation-maintenance-and-repair-occupations,586,"1,007",559,"1,017",27,-,2023
"Maintenance workers, machinery",maintenance-workers-machinery,installation-maintenance-and-repair-occupations,20,-,19,-,2,-,2023
Millwrights,millwrights,installation-maintenance-and-repair-occupations,33,-,32,-,1,-,2023
Electrical power-line installers and repairers,electrical-power-line-installers-and-repairers,installation-maintenance-and-repair-occupations,122,"1,373",120,"1,374",2,-,2023
Telecommunications line installers and repairers,telecommunications-line-installers-and-repairers,installation-maintenance-and-repair-occupations,141,"1,135",134,"1,141",8,-,2023
Precision instrument and equipment repairers,precision-instrument-and-equipment-repairers,installation-maintenance-and-repair-occupations,35,-,32,-,4,-,2023
